x	y
0	0
0	0
3	0
4	1
5	0
6	2
8	0
9	3
12	0
13	5
18	0
19	8
27	0
28	13
41	0
42	20
62	0
63	30
93	0
94	46
140	0
141	69
210	0
211	104
315	0
316	157
473	0
474	236
710	0
711	354
1065	0
1066	532
1598	0
1599	798
2397	0
2398	1198
3596	0
3597	1797
5394	0
5395	2696
8091	0
8092	4045
12137	0
12138	6068
18206	0
18207	9102
27309	0
27310	13654
40964	0
40965	20481
61446	0
61447	30722
92169	0
92170	46084
138254	0
138255	69126
207381	0
207382	103690
311072	0
311073	155535
466608	0
466609	233303
699912	0
699913	349955
999999	49871
