x	y
0	5
1	8
2	7
3	12
5	10
6	14
9	11
10	20
14	16
15	22
20	17
21	24
27	18
28	26
35	19
36	36
44	28
45	38
54	29
55	40
65	30
66	42
77	31
78	44
90	32
91	46
104	33
105	48
119	34
120	50
135	35
136	68
152	52
153	70
170	53
171	72
189	54
190	74
209	55
210	76
230	56
231	78
252	57
253	80
275	58
276	82
299	59
300	84
324	60
325	86
350	61
351	88
377	62
378	90
405	63
406	92
434	64
435	94
464	65
465	96
495	66
496	98
527	67
528	132
560	100
561	134
594	101
595	136
629	102
630	138
665	103
666	140
702	104
703	142
740	105
741	144
779	106
780	146
819	107
820	148
860	108
861	150
902	109
903	152
945	110
946	154
989	111
990	156
1034	112
1035	158
1080	113
1081	160
1127	114
1128	162
1175	115
1176	164
1224	116
1225	166
1274	117
1275	168
1325	118
1326	170
1377	119
1378	172
1430	120
1431	174
1484	121
1485	176
1539	122
1540	178
1595	123
1596	180
1652	124
1653	182
1710	125
1711	184
1769	126
1770	186
1829	127
1830	188
1890	128
1891	190
1952	129
1953	192
2015	130
2016	194
2079	131
2080	260
2144	196
2145	262
2210	197
2211	264
2277	198
2278	266
2345	199
2346	268
2414	200
2415	270
2484	201
2485	272
2555	202
2556	274
2627	203
2628	276
2700	204
2701	278
2774	205
2775	280
2849	206
2850	282
2925	207
2926	284
3002	208
3003	286
3080	209
3081	288
3159	210
3160	290
3239	211
3240	292
3320	212
3321	294
3402	213
3403	296
3485	214
3486	298
3569	215
3570	300
3654	216
3655	302
3740	217
3741	304
3827	218
3828	306
3915	219
3916	308
4004	220
4005	310
4094	221
4095	312
4185	222
4186	314
4277	223
4278	316
4370	224
4371	318
4464	225
4465	320
4559	226
4560	322
4655	227
4656	324
4752	228
4753	326
4850	229
4851	328
4949	230
4950	330
5049	231
5050	332
5150	232
5151	334
5252	233
5253	336
5355	234
5356	338
5459	235
5460	340
5564	236
5565	342
5670	237
5671	344
5777	238
5778	346
5885	239
5886	348
5994	240
5995	350
6104	241
6105	352
6215	242
6216	354
6327	243
6328	356
6440	244
6441	358
6554	245
6555	360
6669	246
6670	362
6785	247
6786	364
6902	248
6903	366
7020	249
7021	368
7139	250
7140	370
7259	251
7260	372
7380	252
7381	374
7502	253
7503	376
7625	254
7626	378
7749	255
7750	380
7874	256
7875	382
8000	257
8001	384
8127	258
8128	386
8255	259
8256	516
8384	388
8385	518
8514	389
8515	520
8645	390
8646	522
8777	391
8778	524
8910	392
8911	526
9044	393
