x	y
0	6
1	9
2	8
3	12
4	11
5	13
6	12
7	20
10	17
11	21
14	18
15	22
18	19
19	23
22	20
23	32
26	29
27	33
30	30
31	38
38	31
39	39
46	32
47	40
54	33
55	41
62	34
63	42
70	35
71	43
78	36
79	60
86	53
87	61
94	54
95	62
102	55
103	63
110	56
111	64
118	57
119	65
126	58
127	74
142	59
143	75
158	60
159	76
174	61
175	77
190	62
191	78
206	63
207	79
222	64
223	80
238	65
239	81
254	66
255	82
270	67
271	83
286	68
287	116
302	101
303	117
318	102
319	118
334	103
335	119
350	104
351	120
366	105
367	121
382	106
383	122
398	107
399	123
414	108
415	124
430	109
431	125
446	110
447	126
462	111
463	127
478	112
479	128
494	113
495	129
510	114
511	146
542	115
543	147
574	116
575	148
606	117
607	149
638	118
639	150
670	119
671	151
702	120
703	152
734	121
735	153
766	122
767	154
798	123
799	155
830	124
831	156
862	125
863	157
894	126
895	158
926	127
927	159
958	128
959	160
990	129
991	161
1022	130
1023	162
1054	131
1055	163
1086	132
1087	228
1118	197
1119	229
1150	198
1151	230
1182	199
1183	231
1214	200
1215	232
1246	201
1247	233
1278	202
1279	234
1310	203
1311	235
1342	204
1343	236
1374	205
1375	237
1406	206
1407	238
1438	207
1439	239
1470	208
1471	240
1502	209
1503	241
1534	210
1535	242
1566	211
1567	243
1598	212
1599	244
1630	213
1631	245
1662	214
1663	246
1694	215
1695	247
1726	216
1727	248
1758	217
1759	249
1790	218
1791	250
1822	219
1823	251
1854	220
1855	252
1886	221
1887	253
1918	222
1919	254
1950	223
1951	255
1982	224
1983	256
2014	225
2015	257
2046	226
2047	290
2110	227
2111	291
2174	228
2175	292
2238	229
2239	293
2302	230
2303	294
2366	231
2367	295
2430	232
2431	296
2494	233
2495	297
2558	234
2559	298
2622	235
2623	299
2686	236
2687	300
2750	237
2751	301
2814	238
2815	302
2878	239
2879	303
2942	240
2943	304
3006	241
3007	305
3070	242
3071	306
3134	243
3135	307
3198	244
3199	308
3262	245
3263	309
3326	246
3327	310
3390	247
3391	311
3454	248
3455	312
3518	249
3519	313
3582	250
