x	y
0	16
0	16
1	15
2	17
3	16
4	18
5	17
6	19
7	18
8	27
11	24
12	28
15	25
16	29
19	26
20	30
23	27
24	31
27	28
28	32
31	29
32	30
35	27
36	31
39	28
40	32
43	29
44	33
47	30
48	31
51	28
52	32
55	29
56	33
59	30
60	34
63	31
64	49
71	42
72	50
79	43
80	51
87	44
88	52
95	45
96	53
103	46
104	54
111	47
112	55
119	48
120	56
127	49
128	50
135	43
136	51
143	44
144	52
151	45
152	53
159	46
160	54
167	47
168	55
175	48
176	56
183	49
184	57
191	50
192	51
199	44
200	52
207	45
208	53
215	46
216	54
223	47
224	55
231	48
232	56
239	49
240	57
247	50
248	58
255	51
256	52
263	45
264	53
271	46
272	54
279	47
280	55
287	48
288	56
295	49
296	57
303	50
304	58
311	51
312	59
319	52
320	53
327	46
328	54
335	47
336	55
343	48
344	56
351	49
352	57
359	50
360	58
367	51
368	59
375	52
376	60
383	53
384	54
391	47
392	55
399	48
400	56
407	49
408	57
415	50
416	58
423	51
424	59
431	52
432	60
439	53
440	61
447	54
448	55
455	48
456	56
463	49
464	57
471	50
472	58
479	51
480	59
487	52
488	60
495	53
496	61
503	54
504	62
511	55
512	90
527	75
528	91
543	76
544	92
559	77
560	93
575	78
576	94
591	79
592	95
607	80
608	96
623	81
624	97
639	82
640	98
655	83
656	99
671	84
672	100
687	85
688	101
703	86
704	102
719	87
720	103
735	88
736	104
751	89
752	105
767	90
768	91
783	76
784	92
799	77
800	93
815	78
816	94
831	79
832	95
847	80
848	96
863	81
864	97
879	82
880	98
895	83
896	99
911	84
912	100
927	85
928	101
943	86
944	102
959	87
960	103
975	88
976	104
991	89
992	105
1007	90
1008	106
1023	91
1024	92
1039	77
1040	93
1055	78
1056	94
1071	79
1072	95
1087	80
1088	96
1103	81
1104	97
1119	82
1120	98
1135	83
1136	99
1151	84
1152	100
1167	85
1168	101
1183	86
1184	102
1199	87
1200	103
1215	88
1216	104
1231	89
1232	105
1247	90
1248	106
1263	91
1264	107
1279	92
1280	93
1295	78
1296	94
1311	79
1312	95
1327	80
1328	96
1343	81
1344	97
1359	82
1360	98
1375	83
1376	99
1391	84
1392	100
1407	85
1408	101
1423	86
1424	102
1439	87
1440	103
1455	88
1456	104
1471	89
1472	105
1487	90
1488	106
1503	91
1504	107
1519	92
1520	108
1535	93
1536	94
1551	79
1552	95
1567	80
1568	96
1583	81
1584	97
1599	82
1600	98
1615	83
1616	99
1631	84
1632	100
1647	85
1648	101
1663	86
1664	102
1679	87
1680	103
1695	88
1696	104
1711	89
1712	105
1727	90
1728	106
1743	91
1744	107
1759	92
1760	108
1775	93
1776	109
1791	94
1792	95
1807	80
1808	96
1823	81
1824	97
1839	82
1840	98
1855	83
1856	99
1871	84
1872	100
1887	85
1888	101
1903	86
1904	102
1919	87
1920	103
1935	88
1936	104
1951	89
1952	105
1967	90
1968	106
1983	91
1984	107
1999	92
2000	108
2015	93
2016	109
2031	94
2032	110
2047	95
2048	96
2063	81
2064	97
2079	82
2080	98
2095	83
2096	99
2111	84
2112	100
2127	85
2128	101
2143	86
2144	102
2159	87
2160	103
2175	88
2176	104
2191	89
2192	105
2207	90
2208	106
2223	91
2224	107
2239	92
2240	108
2255	93
2256	109
2271	94
2272	110
2287	95
2288	111
2303	96
2304	97
2319	82
2320	98
2335	83
2336	99
2351	84
2352	100
2367	85
2368	101
2383	86
2384	102
2399	87
2400	103
2415	88
2416	104
2431	89
2432	105
2447	90
2448	106
2463	91
2464	107
2479	92
2480	108
2495	93
2496	109
2511	94
2512	110
2527	95
2528	111
2543	96
2544	112
2559	97
2560	98
2575	83
2576	99
2591	84
2592	100
2607	85
2608	101
2623	86
2624	102
2639	87
2640	103
2655	88
2656	104
2671	89
2672	105
2687	90
2688	106
2703	91
2704	107
2719	92
2720	108
2735	93
2736	109
2751	94
2752	110
2767	95
2768	111
2783	96
2784	112
2799	97
2800	113
2815	98
2816	99
2831	84
2832	100
2847	85
2848	101
2863	86
2864	102
2879	87
2880	103
2895	88
2896	104
2911	89
2912	105
2927	90
2928	106
2943	91
2944	107
2959	92
2960	108
2975	93
2976	109
2991	94
2992	110
3007	95
3008	111
3023	96
3024	112
3039	97
3040	113
3055	98
3056	114
3071	99
3072	100
3087	85
3088	101
3103	86
3104	102
3119	87
3120	103
3135	88
3136	104
3151	89
3152	105
3167	90
3168	106
3183	91
3184	107
3199	92
3200	108
3215	93
3216	109
3231	94
3232	110
3247	95
3248	111
3263	96
3264	112
3279	97
3280	113
3295	98
3296	114
3311	99
3312	115
3327	100
3328	101
3343	86
3344	102
3359	87
3360	103
3375	88
3376	104
3391	89
3392	105
3407	90
3408	106
3423	91
3424	107
3439	92
3440	108
3455	93
3456	109
3471	94
3472	110
3487	95
3488	111
3503	96
3504	112
3519	97
3520	113
3535	98
3536	114
3551	99
3552	115
3567	100
3568	116
3583	101
3584	102
3599	87
3600	103
3615	88
3616	104
3631	89
3632	105
3647	90
3648	106
3663	91
3664	107
3679	92
3680	108
3695	93
3696	109
3711	94
3712	110
3727	95
3728	111
3743	96
3744	112
3759	97
3760	113
3775	98
3776	114
3791	99
3792	115
3807	100
3808	116
3823	101
3824	117
3839	102
3840	103
3855	88
3856	104
3871	89
3872	105
3887	90
3888	106
3903	91
3904	107
3919	92
3920	108
3935	93
3936	109
3951	94
3952	110
3967	95
3968	111
3983	96
3984	112
3999	97
4000	113
4015	98
4016	114
4031	99
4032	115
4047	100
4048	116
4063	101
4064	117
4079	102
4080	118
4095	103
4096	172
4127	141
4128	173
4159	142
4160	174
4191	143
4192	175
4223	144
4224	176
4255	145
4256	177
4287	146
4288	178
4319	147
4320	179
4351	148
4352	180
4383	149
4384	181
4415	150
4416	182
4447	151
4448	183
4479	152
4480	184
4511	153
4512	185
4543	154
4544	186
4575	155
4576	187
4607	156
4608	188
4639	157
4640	189
4671	158
4672	190
4703	159
4704	191
4735	160
4736	192
4767	161
4768	193
4799	162
4800	194
4831	163
4832	195
4863	164
4864	196
4895	165
4896	197
4927	166
4928	198
4959	167
4960	199
4991	168
4992	200
5023	169
5024	201
5055	170
5056	202
5087	171
5088	203
5119	172
5120	173
5151	142
5152	174
5183	143
5184	175
5215	144
5216	176
5247	145
5248	177
5279	146
5280	178
5311	147
5312	179
5343	148
5344	180
5375	149
5376	181
5407	150
5408	182
5439	151
5440	183
5471	152
5472	184
5503	153
5504	185
5535	154
5536	186
5567	155
5568	187
5599	156
5600	188
5631	157
5632	189
5663	158
5664	190
5695	159
5696	191
5727	160
5728	192
5759	161
5760	193
5791	162
5792	194
5823	163
5824	195
5855	164
5856	196
5887	165
5888	197
5919	166
5920	198
5951	167
5952	199
5983	168
5984	200
6015	169
6016	201
6047	170
6048	202
6079	171
6080	203
6111	172
6112	204
6143	173
6144	174
6175	143
6176	175
6207	144
6208	176
6239	145
6240	177
6271	146
6272	178
6303	147
6304	179
6335	148
6336	180
6367	149
6368	181
6399	150
6400	182
6431	151
6432	183
6463	152
6464	184
6495	153
6496	185
6527	154
6528	186
6559	155
6560	187
6591	156
6592	188
6623	157
6624	189
6655	158
