x	y
0	24
1	30
2	29
3	31
4	30
5	39
6	38
7	40
8	39
9	41
10	40
11	45
12	44
13	46
14	45
15	45
16	44
17	46
18	45
19	57
22	54
23	58
26	55
27	59
30	56
31	58
34	55
35	59
38	56
39	65
42	62
43	66
46	63
47	67
50	64
51	68
54	65
55	69
58	66
59	70
62	67
63	67
66	64
67	68
70	65
71	69
74	66
75	70
78	67
79	78
82	75
83	79
86	76
87	80
90	77
91	81
94	78
95	78
98	75
99	79
102	76
103	80
106	77
107	81
110	78
111	78
114	75
115	79
118	76
119	80
122	77
123	81
126	78
127	78
130	75
131	79
134	76
135	80
138	77
139	81
142	78
143	83
150	76
151	84
158	77
159	85
166	78
167	86
174	79
175	87
182	80
183	88
190	81
191	85
198	78
199	86
206	79
207	87
214	80
215	88
222	81
223	85
230	78
231	86
238	79
239	87
246	80
247	88
254	81
255	85
262	78
263	86
270	79
271	87
278	80
279	88
286	81
287	120
294	113
295	121
302	114
303	122
310	115
311	123
318	116
319	124
326	117
327	125
334	118
335	126
342	119
343	127
350	120
351	128
358	121
359	129
366	122
367	130
374	123
375	131
382	124
383	124
390	117
391	125
398	118
399	126
406	119
407	127
414	120
415	128
422	121
423	129
430	122
431	130
438	123
439	131
446	124
447	124
454	117
455	125
462	118
463	126
470	119
471	127
478	120
479	128
486	121
487	129
494	122
495	130
502	123
503	131
510	124
511	124
518	117
519	125
526	118
527	126
534	119
535	127
542	120
543	128
550	121
551	129
558	122
559	130
566	123
567	131
574	124
575	127
582	120
583	128
590	121
591	129
598	122
599	130
606	123
607	131
614	124
615	132
622	125
623	133
630	126
631	134
638	127
639	127
646	120
647	128
654	121
655	129
662	122
663	130
670	123
671	131
678	124
679	132
686	125
687	133
694	126
695	134
702	127
703	127
710	120
711	128
718	121
719	129
726	122
727	130
734	123
735	131
742	124
743	132
750	125
751	133
758	126
759	134
766	127
767	127
774	120
775	128
782	121
783	129
790	122
791	130
798	123
799	131
806	124
807	132
814	125
815	133
822	126
823	134
830	127
831	127
838	120
839	128
846	121
847	129
854	122
855	130
862	123
863	131
870	124
871	132
878	125
879	133
886	126
887	134
894	127
895	127
902	120
903	128
910	121
911	129
918	122
919	130
926	123
927	131
934	124
935	132
942	125
943	133
950	126
951	134
958	127
959	127
966	120
967	128
974	121
975	129
982	122
983	130
990	123
991	131
998	124
999	132
1006	125
1007	133
1014	126
1015	134
1022	127
1023	127
1030	120
1031	128
1038	121
1039	129
1046	122
1047	130
1054	123
1055	131
1062	124
1063	132
1070	125
1071	133
1078	126
1079	134
1086	127
1087	134
1102	119
1103	135
1118	120
1119	136
1134	121
1135	137
1150	122
1151	138
1166	123
1167	139
1182	124
1183	140
1198	125
1199	141
1214	126
1215	142
1230	127
1231	143
1246	128
1247	144
1262	129
1263	145
1278	130
1279	138
1294	123
1295	139
1310	124
1311	140
1326	125
1327	141
1342	126
1343	142
1358	127
1359	143
1374	128
1375	144
1390	129
1391	145
1406	130
1407	138
1422	123
1423	139
1438	124
1439	140
1454	125
1455	141
1470	126
1471	142
1486	127
1487	143
1502	128
1503	144
1518	129
1519	145
1534	130
1535	138
1550	123
1551	139
1566	124
1567	140
1582	125
1583	141
1598	126
1599	142
1614	127
1615	143
1630	128
1631	144
1646	129
1647	145
1662	130
1663	170
1678	155
1679	171
1694	156
1695	172
1710	157
1711	173
1726	158
1727	174
1742	159
1743	175
1758	160
1759	176
1774	161
1775	177
1790	162
1791	170
1806	155
1807	171
1822	156
1823	172
1838	157
1839	173
1854	158
1855	174
1870	159
1871	175
1886	160
1887	176
1902	161
1903	177
1918	162
1919	170
1934	155
1935	171
1950	156
1951	172
1966	157
1967	173
1982	158
1983	174
1998	159
1999	175
2014	160
2015	176
2030	161
2031	177
2046	162
2047	170
2062	155
2063	171
2078	156
2079	172
2094	157
2095	173
2110	158
2111	174
2126	159
2127	175
2142	160
2143	176
2158	161
2159	177
2174	162
2175	189
2190	174
2191	190
2206	175
2207	191
2222	176
2223	192
2238	177
2239	193
2254	178
2255	194
2270	179
2271	195
2286	180
2287	196
2302	181
2303	197
2318	182
2319	198
2334	183
2335	199
2350	184
2351	200
2366	185
2367	201
2382	186
2383	202
2398	187
2399	203
2414	188
2415	204
2430	189
2431	205
2446	190
2447	206
2462	191
2463	207
2478	192
2479	208
2494	193
2495	209
2510	194
2511	210
2526	195
2527	211
2542	196
2543	212
2558	197
2559	197
2574	182
2575	198
2590	183
2591	199
2606	184
2607	200
2622	185
2623	201
2638	186
2639	202
2654	187
2655	203
2670	188
2671	204
2686	189
2687	205
2702	190
2703	206
2718	191
2719	207
2734	192
2735	208
2750	193
2751	209
2766	194
2767	210
2782	195
2783	211
2798	196
2799	212
2814	197
2815	197
2830	182
2831	198
2846	183
2847	199
2862	184
2863	200
2878	185
2879	201
2894	186
2895	202
2910	187
2911	203
2926	188
2927	204
2942	189
2943	205
2958	190
2959	206
2974	191
2975	207
2990	192
2991	208
3006	193
3007	209
3022	194
3023	210
3038	195
3039	211
3054	196
3055	212
3070	197
3071	197
3086	182
3087	198
3102	183
3103	199
3118	184
3119	200
3134	185
3135	201
3150	186
3151	202
3166	187
3167	203
3182	188
3183	204
3198	189
3199	205
3214	190
3215	206
3230	191
3231	207
3246	192
3247	208
3262	193
3263	209
3278	194
3279	210
3294	195
3295	211
3310	196
3311	212
3326	197
3327	197
3342	182
3343	198
3358	183
3359	199
3374	184
3375	200
3390	185
3391	201
3406	186
3407	202
3422	187
3423	203
3438	188
3439	204
3454	189
3455	205
3470	190
3471	206
3486	191
3487	207
3502	192
3503	208
3518	193
3519	209
3534	194
3535	210
3550	195
3551	211
3566	196
3567	212
3582	197
3583	197
3598	182
3599	198
3614	183
3615	199
3630	184
3631	200
3646	185
3647	201
3662	186
3663	202
3678	187
3679	203
3694	188
3695	204
3710	189
3711	205
3726	190
3727	206
3742	191
3743	207
3758	192
3759	208
3774	193
3775	209
3790	194
3791	210
3806	195
3807	211
3822	196
3823	212
3838	197
3839	197
3854	182
3855	198
3870	183
3871	199
3886	184
3887	200
3902	185
3903	201
3918	186
3919	202
3934	187
3935	203
3950	188
3951	204
3966	189
3967	205
3982	190
3983	206
3998	191
3999	207
4014	192
4015	208
4030	193
4031	209
4046	194
4047	210
4062	195
4063	211
4078	196
4079	212
4094	197
4095	197
4110	182
4111	198
4126	183
4127	199
4142	184
4143	200
4158	185
4159	201
4174	186
4175	202
4190	187
4191	203
4206	188
4207	204
4222	189
4223	205
4238	190
4239	206
4254	191
4255	207
4270	192
4271	208
4286	193
4287	209
4302	194
4303	210
4318	195
4319	211
4334	196
4335	212
4350	197
4351	200
4366	185
4367	201
4382	186
4383	202
4398	187
4399	203
4414	188
4415	204
4430	189
4431	205
4446	190
4447	206
4462	191
4463	207
4478	192
4479	208
4494	193
4495	209
4510	194
4511	210
4526	195
4527	211
4542	196
4543	212
4558	197
4559	213
4574	198
4575	214
4590	199
4591	215
4606	200
4607	200
4622	185
4623	201
4638	186
4639	202
4654	187
4655	203
4670	188
4671	204
4686	189
4687	205
4702	190
4703	206
4718	191
4719	207
4734	192
4735	208
4750	193
4751	209
4766	194
4767	210
4782	195
4783	211
4798	196
4799	212
4814	197
4815	213
4830	198
4831	214
4846	199
4847	215
4862	200
4863	200
4878	185
4879	201
4894	186
4895	202
4910	187
4911	203
4926	188
4927	204
4942	189
4943	205
4958	190
4959	206
4974	191
4975	207
4990	192
4991	208
5006	193
5007	209
5022	194
5023	210
5038	195
5039	211
5054	196
5055	212
5070	197
5071	213
5086	198
5087	214
5102	199
5103	215
5118	200
5119	200
5134	185
5135	201
5150	186
5151	202
5166	187
5167	203
5182	188
5183	204
5198	189
5199	205
5214	190
5215	206
5230	191
5231	207
5246	192
5247	208
5262	193
5263	209
5278	194
5279	210
5294	195
5295	211
5310	196
5311	212
5326	197
5327	213
5342	198
5343	214
5358	199
5359	215
5374	200
5375	200
5390	185
5391	201
5406	186
5407	202
5422	187
5423	203
5438	188
5439	204
5454	189
5455	205
5470	190
5471	206
5486	191
5487	207
5502	192
5503	208
5518	193
5519	209
5534	194
5535	210
5550	195
5551	211
5566	196
5567	212
5582	197
5583	213
5598	198
5599	214
5614	199
5615	215
5630	200
5631	200
5646	185
5647	201
5662	186
5663	202
5678	187
5679	203
5694	188
5695	204
5710	189
5711	205
5726	190
5727	206
5742	191
5743	207
5758	192
5759	208
5774	193
5775	209
5790	194
5791	210
5806	195
5807	211
5822	196
5823	212
5838	197
5839	213
5854	198
5855	214
5870	199
5871	215
5886	200
5887	200
5902	185
5903	201
5918	186
5919	202
5934	187
5935	203
5950	188
5951	204
5966	189
5967	205
5982	190
5983	206
5998	191
5999	207
6014	192
6015	208
6030	193
6031	209
6046	194
6047	210
6062	195
6063	211
6078	196
6079	212
6094	197
6095	213
6110	198
6111	214
6126	199
6127	215
6142	200
6143	200
6158	185
6159	201
6174	186
6175	202
6190	187
6191	203
6206	188
6207	204
6222	189
6223	205
6238	190
6239	206
6254	191
6255	207
6270	192
6271	208
6286	193
6287	209
6302	194
6303	210
6318	195
6319	211
6334	196
6335	212
6350	197
6351	213
6366	198
6367	214
6382	199
6383	215
6398	200
6399	200
6414	185
6415	201
6430	186
6431	202
6446	187
6447	203
6462	188
6463	204
6478	189
6479	205
6494	190
6495	206
6510	191
6511	207
6526	192
6527	208
6542	193
6543	209
6558	194
6559	210
6574	195
6575	211
6590	196
6591	212
6606	197
6607	213
6622	198
6623	214
6638	199
6639	215
6654	200
6655	200
6670	185
6671	201
6686	186
6687	202
6702	187
6703	203
6718	188
6719	204
6734	189
6735	205
6750	190
6751	206
6766	191
6767	207
6782	192
6783	208
6798	193
6799	209
6814	194
6815	210
6830	195
6831	211
6846	196
6847	212
6862	197
6863	213
6878	198
6879	214
6894	199
6895	215
6910	200
6911	200
6926	185
6927	201
6942	186
6943	202
6958	187
6959	203
6974	188
6975	204
6990	189
6991	205
7006	190
7007	206
7022	191
7023	207
7038	192
7039	208
7054	193
7055	209
7070	194
7071	210
7086	195
7087	211
7102	196
7103	212
7118	197
7119	213
7134	198
7135	214
7150	199
7151	215
7166	200
7167	200
7182	185
7183	201
7198	186
7199	202
7214	187
7215	203
7230	188
7231	204
7246	189
7247	205
7262	190
7263	206
7278	191
7279	207
7294	192
7295	208
7310	193
7311	209
7326	194
7327	210
7342	195
7343	211
7358	196
7359	212
7374	197
7375	213
7390	198
7391	214
7406	199
7407	215
7422	200
7423	200
7438	185
7439	201
7454	186
7455	202
7470	187
7471	203
7486	188
7487	204
7502	189
7503	205
7518	190
7519	206
7534	191
7535	207
7550	192
7551	208
7566	193
7567	209
7582	194
7583	210
7598	195
7599	211
7614	196
7615	212
7630	197
7631	213
7646	198
7647	214
7662	199
7663	215
7678	200
7679	200
7694	185
7695	201
7710	186
7711	202
7726	187
7727	203
7742	188
7743	204
7758	189
7759	205
7774	190
7775	206
7790	191
7791	207
7806	192
7807	208
7822	193
7823	209
7838	194
7839	210
7854	195
7855	211
7870	196
7871	212
7886	197
7887	213
7902	198
7903	214
7918	199
7919	215
7934	200
7935	200
7950	185
7951	201
7966	186
7967	202
7982	187
7983	203
7998	188
7999	204
8014	189
8015	205
8030	190
8031	206
8046	191
8047	207
8062	192
8063	208
8078	193
8079	209
8094	194
8095	210
8110	195
8111	211
8126	196
8127	212
8142	197
8143	213
8158	198
8159	214
8174	199
8175	215
8190	200
8191	200
8206	185
8207	201
8222	186
8223	202
8238	187
8239	203
8254	188
8255	204
8270	189
8271	205
8286	190
8287	206
8302	191
8303	207
8318	192
8319	208
8334	193
8335	209
8350	194
8351	210
8366	195
8367	211
8382	196
8383	212
8398	197
8399	213
8414	198
8415	214
8430	199
8431	215
8446	200
8447	211
8478	180
8479	212
8510	181
8511	213
8542	182
8543	214
8574	183
8575	215
8606	184
8607	216
8638	185
8639	217
8670	186
8671	218
8702	187
8703	219
8734	188
8735	220
8766	189
8767	221
8798	190
8799	222
8830	191
8831	223
8862	192
8863	224
8894	193
8895	225
8926	194
8927	226
8958	195
8959	227
8990	196
8991	228
9022	197
9023	229
9054	198
9055	230
9086	199
9087	231
9118	200
9119	232
9150	201
9151	233
9182	202
9183	234
9214	203
9215	219
9246	188
9247	220
9278	189
9279	221
9310	190
9311	222
9342	191
9343	223
9374	192
9375	224
9406	193
9407	225
9438	194
9439	226
9470	195
9471	227
9502	196
9503	228
9534	197
9535	229
9566	198
9567	230
9598	199
9599	231
9630	200
9631	232
9662	201
9663	233
9694	202
9695	234
9726	203
9727	219
9758	188
9759	220
9790	189
9791	221
9822	190
9823	222
9854	191
9855	223
9886	192
9887	224
9918	193
9919	225
9950	194
9951	226
9982	195
9983	227
10014	196
10015	228
10046	197
10047	229
10078	198
10079	230
10110	199
10111	231
10142	200
10143	232
10174	201
10175	233
10206	202
10207	234
10238	203
10239	219
10270	188
10271	220
10302	189
10303	221
10334	190
10335	222
10366	191
10367	223
10398	192
10399	224
10430	193
10431	225
10462	194
10463	226
10494	195
10495	227
10526	196
10527	228
10558	197
10559	229
10590	198
10591	230
10622	199
10623	231
10654	200
10655	232
10686	201
10687	233
10718	202
10719	234
10750	203
10751	283
10782	252
10783	284
10814	253
10815	285
10846	254
10847	286
10878	255
10879	287
10910	256
10911	288
10942	257
10943	289
10974	258
10975	290
11006	259
11007	291
11038	260
11039	292
11070	261
11071	293
11102	262
11103	294
11134	263
11135	295
11166	264
11167	296
11198	265
11199	297
11230	266
11231	298
11262	267
11263	283
11294	252
11295	284
11326	253
11327	285
11358	254
11359	286
11390	255
11391	287
11422	256
11423	288
11454	257
11455	289
11486	258
11487	290
11518	259
11519	291
11550	260
11551	292
11582	261
11583	293
11614	262
11615	294
11646	263
11647	295
11678	264
11679	296
11710	265
11711	297
11742	266
11743	298
11774	267
11775	283
11806	252
11807	284
11838	253
11839	285
11870	254
11871	286
11902	255
11903	287
11934	256
11935	288
11966	257
11967	289
11998	258
11999	290
12030	259
12031	291
12062	260
12063	292
12094	261
12095	293
12126	262
12127	294
12158	263
12159	295
12190	264
12191	296
12222	265
12223	297
12254	266
12255	298
12286	267
12287	283
12318	252
12319	284
