x	y
0	3871
1008	4879
1009	3465
2421	4877
2422	3464
3833	4875
3834	3463
5244	4873
5245	3462
6654	4871
6655	3461
8063	4869
8064	3460
9471	4867
9472	3459
10878	4865
10879	3458
12284	4863
12285	3457
13689	4861
13690	3456
15093	4859
15094	3455
16496	4857
16497	3454
17898	4855
17899	3453
19299	4853
19300	3452
20699	4851
20700	3451
22098	4849
22099	3450
23496	4847
23497	3449
24893	4845
24894	3448
26289	4843
26290	3447
27684	4841
27685	3446
29078	4839
29079	3445
30471	4837
30472	3444
31863	4835
31864	3443
33254	4833
33255	3442
34644	4831
34645	3441
36033	4829
36034	3440
37421	4827
37422	3439
38808	4825
38809	3438
40194	4823
40195	3437
41579	4821
41580	3436
42963	4819
42964	3435
44346	4817
44347	3434
45728	4815
45729	3433
47109	4813
47110	3432
48489	4811
48490	3431
49868	4809
49869	3430
51246	4807
51247	3429
52623	4805
52624	3428
53999	4803
54000	3427
55374	4801
55375	3426
56748	4799
56749	3425
58121	4797
58122	3424
59493	4795
59494	3423
60864	4793
60865	3422
62234	4791
62235	3421
63603	4789
63604	3420
64971	4787
64972	3419
66338	4785
66339	3418
67704	4783
67705	3417
69069	4781
69070	3416
70433	4779
70434	3415
71796	4777
71797	3414
73158	4775
73159	3413
74519	4773
74520	3412
75879	4771
75880	3411
77238	4769
77239	3410
78596	4767
78597	3409
79953	4765
79954	3408
81309	4763
81310	3407
82664	4761
82665	3406
84018	4759
84019	3405
85371	4757
85372	3404
86723	4755
86724	3403
88074	4753
88075	3402
89424	4751
89425	3401
90773	4749
90774	3400
92121	4747
92122	3399
93468	4745
93469	3398
94814	4743
94815	3397
96159	4741
96160	3396
97503	4739
97504	3395
98846	4737
98847	3394
100188	4735
100189	3393
101529	4733
101530	3392
102869	4731
102870	3391
104208	4729
104209	3390
105546	4727
105547	3389
106883	4725
106884	3388
108219	4723
108220	3387
109554	4721
109555	3386
110888	4719
110889	3385
112221	4717
112222	3384
113553	4715
113554	3383
114884	4713
114885	3382
116214	4711
116215	3381
117543	4709
117544	3380
118871	4707
118872	3379
120198	4705
120199	3378
121524	4703
121525	3377
122849	4701
122850	3376
124173	4699
124174	3375
125496	4697
125497	3374
126818	4695
126819	3373
128139	4693
128140	3372
129459	4691
129460	3371
130778	4689
130779	3370
132096	4687
132097	3369
133413	4685
133414	3368
134729	4683
134730	3367
136044	4681
136045	3366
137358	4679
137359	3365
138671	4677
138672	3364
139983	4675
139984	3363
141294	4673
141295	3362
142604	4671
142605	3361
143913	4669
143914	3360
145221	4667
145222	3359
146528	4665
146529	3358
147834	4663
147835	3357
149139	4661
149140	3356
150443	4659
150444	3355
151746	4657
151747	3354
153048	4655
153049	3353
154349	4653
154350	3352
155649	4651
155650	3351
156948	4649
156949	3350
158246	4647
158247	3349
159543	4645
159544	3348
160839	4643
160840	3347
162134	4641
162135	3346
163428	4639
163429	3345
164721	4637
164722	3344
166013	4635
166014	3343
167304	4633
167305	3342
168594	4631
168595	3341
169883	4629
169884	3340
171171	4627
171172	3339
172458	4625
172459	3338
173744	4623
173745	3337
175029	4621
175030	3336
176313	4619
176314	3335
177596	4617
177597	3334
178878	4615
178879	3333
180159	4613
180160	3332
181439	4611
181440	3331
182718	4609
182719	3330
183996	4607
183997	3329
185273	4605
185274	3328
186549	4603
186550	3327
187824	4601
187825	3326
189098	4599
189099	3325
190371	4597
190372	3324
191643	4595
191644	3323
192914	4593
192915	3322
194184	4591
194185	3321
195453	4589
195454	3320
196721	4587
196722	3319
197988	4585
197989	3318
199254	4583
199255	3317
200519	4581
200520	3316
201783	4579
201784	3315
203046	4577
203047	3314
204308	4575
204309	3313
205569	4573
205570	3312
206829	4571
206830	3311
208088	4569
208089	3310
209346	4567
209347	3309
210603	4565
210604	3308
211859	4563
211860	3307
213114	4561
213115	3306
214368	4559
214369	3305
215621	4557
215622	3304
216873	4555
216874	3303
218124	4553
218125	3302
219374	4551
219375	3301
220623	4549
220624	3300
221871	4547
221872	3299
223118	4545
223119	3298
224364	4543
224365	3297
225609	4541
225610	3296
226853	4539
226854	3295
228096	4537
228097	3294
229338	4535
229339	3293
230579	4533
230580	3292
231819	4531
231820	3291
233058	4529
233059	3290
234296	4527
234297	3289
235533	4525
235534	3288
236769	4523
236770	3287
238004	4521
238005	3286
239238	4519
239239	3285
240471	4517
240472	3284
241703	4515
241704	3283
242934	4513
242935	3282
244164	4511
244165	3281
245393	4509
245394	3280
246621	4507
246622	3279
247848	4505
247849	3278
249074	4503
249075	3277
250299	4501
250300	3276
251523	4499
251524	3275
252746	4497
252747	3274
253968	4495
253969	3273
255189	4493
255190	3272
256409	4491
256410	3271
257628	4489
257629	3270
258846	4487
258847	3269
260063	4485
260064	3268
261279	4483
261280	3267
262494	4481
262495	3266
263708	4479
263709	3265
264921	4477
264922	3264
266133	4475
266134	3263
267344	4473
267345	3262
268554	4471
268555	3261
269763	4469
269764	3260
270971	4467
270972	3259
272178	4465
272179	3258
273384	4463
273385	3257
274589	4461
274590	3256
275793	4459
275794	3255
276996	4457
276997	3254
278198	4455
278199	3253
279399	4453
279400	3252
280599	4451
280600	3251
281798	4449
281799	3250
282996	4447
282997	3249
284193	4445
284194	3248
285389	4443
285390	3247
286584	4441
286585	3246
287778	4439
287779	3245
288971	4437
288972	3244
290163	4435
290164	3243
291354	4433
291355	3242
292544	4431
292545	3241
293733	4429
293734	3240
294921	4427
294922	3239
296108	4425
296109	3238
297294	4423
297295	3237
298479	4421
298480	3236
299663	4419
299664	3235
300846	4417
300847	3234
302028	4415
302029	3233
303209	4413
303210	3232
304389	4411
304390	3231
305568	4409
305569	3230
306746	4407
306747	3229
307923	4405
307924	3228
309099	4403
309100	3227
310274	4401
310275	3226
311448	4399
311449	3225
312621	4397
312622	3224
313793	4395
313794	3223
314964	4393
314965	3222
316134	4391
316135	3221
317303	4389
317304	3220
318471	4387
318472	3219
319638	4385
319639	3218
320804	4383
320805	3217
321969	4381
321970	3216
323133	4379
323134	3215
324296	4377
324297	3214
325458	4375
325459	3213
326619	4373
326620	3212
327779	4371
327780	3211
328938	4369
328939	3210
330096	4367
330097	3209
331253	4365
331254	3208
332409	4363
332410	3207
333564	4361
333565	3206
334718	4359
334719	3205
335871	4357
335872	3204
337023	4355
337024	3203
338174	4353
338175	3202
339324	4351
339325	3201
340473	4349
340474	3200
341621	4347
341622	3199
342768	4345
342769	3198
343914	4343
343915	3197
345059	4341
345060	3196
346203	4339
346204	3195
347346	4337
347347	3194
348488	4335
348489	3193
349629	4333
349630	3192
350769	4331
350770	3191
351908	4329
351909	3190
353046	4327
353047	3189
354183	4325
354184	3188
355319	4323
355320	3187
356454	4321
356455	3186
357588	4319
357589	3185
358721	4317
358722	3184
359853	4315
359854	3183
360984	4313
360985	3182
362114	4311
362115	3181
363243	4309
363244	3180
364371	4307
364372	3179
365498	4305
365499	3178
366624	4303
366625	3177
367749	4301
367750	3176
368873	4299
368874	3175
369996	4297
369997	3174
371118	4295
371119	3173
372239	4293
372240	3172
373359	4291
373360	3171
374478	4289
374479	3170
375596	4287
375597	3169
376713	4285
376714	3168
377829	4283
377830	3167
378944	4281
378945	3166
380058	4279
380059	3165
381171	4277
381172	3164
382283	4275
382284	3163
383394	4273
383395	3162
384504	4271
384505	3161
385613	4269
