x	y
0	4499
576	5075
577	4051
1600	5074
1601	4050
2624	5073
2625	4049
3648	5072
3649	4048
4672	5071
4673	4047
5696	5070
5697	4046
6720	5069
6721	4045
7744	5068
7745	4044
8768	5067
8769	4043
9792	5066
9793	4042
10816	5065
10817	4041
11840	5064
11841	4040
12864	5063
12865	4039
13888	5062
13889	4038
14912	5061
14913	4037
15936	5060
15937	4036
16960	5059
16961	4035
17984	5058
17985	4034
19008	5057
19009	4033
20032	5056
20033	4032
21056	5055
21057	4031
22080	5054
22081	4030
23104	5053
23105	4029
24128	5052
24129	4028
25152	5051
25153	4027
26176	5050
26177	4026
27200	5049
27201	4025
28224	5048
28225	4024
29248	5047
29249	4023
30272	5046
30273	4022
31296	5045
31297	4021
32320	5044
32321	4020
33344	5043
33345	4019
34368	5042
34369	4018
35392	5041
35393	4017
36416	5040
36417	4016
37440	5039
37441	4015
38464	5038
38465	4014
39488	5037
39489	4013
40512	5036
40513	4012
41536	5035
41537	4011
42560	5034
42561	4010
43584	5033
43585	4009
44608	5032
44609	4008
45632	5031
45633	4007
46656	5030
46657	4006
47680	5029
47681	4005
48704	5028
48705	4004
49728	5027
49729	4003
50752	5026
50753	4002
51776	5025
51777	4001
52800	5024
52801	4000
53824	5023
53825	3999
54848	5022
54849	3998
55872	5021
55873	3997
56896	5020
56897	3996
57920	5019
57921	3995
58944	5018
58945	3994
59968	5017
59969	3993
60992	5016
60993	3992
62016	5015
62017	3991
63040	5014
63041	3990
64064	5013
64065	3989
65088	5012
65089	3988
66112	5011
66113	3987
67136	5010
67137	3986
68160	5009
68161	3985
69184	5008
69185	3984
70208	5007
70209	3983
71232	5006
71233	3982
72256	5005
72257	3981
73280	5004
73281	3980
74304	5003
74305	3979
75328	5002
75329	3978
76352	5001
76353	3977
77376	5000
77377	3976
78400	4999
78401	3975
79424	4998
79425	3974
80448	4997
80449	3973
81472	4996
81473	3972
82496	4995
82497	3971
83520	4994
83521	3970
84544	4993
84545	3969
85568	4992
85569	3968
86592	4991
86593	3967
87616	4990
87617	3966
88640	4989
88641	3965
89664	4988
89665	3964
90688	4987
90689	3963
91712	4986
91713	3962
92736	4985
92737	3961
93760	4984
93761	3960
94784	4983
94785	3959
95808	4982
95809	3958
96832	4981
96833	3957
97856	4980
97857	3956
98880	4979
98881	3955
99904	4978
99905	3954
100928	4977
100929	3953
101952	4976
101953	3952
102976	4975
102977	3951
104000	4974
104001	3950
105024	4973
105025	3949
106048	4972
106049	3948
107072	4971
107073	3947
108096	4970
108097	3946
109120	4969
109121	3945
110144	4968
110145	3944
111168	4967
111169	3943
112192	4966
112193	3942
113216	4965
113217	3941
114240	4964
114241	3940
115264	4963
115265	3939
116288	4962
116289	3938
117312	4961
117313	3937
118336	4960
118337	3936
119360	4959
119361	3935
120384	4958
120385	3934
121408	4957
121409	3933
122432	4956
122433	3932
123456	4955
123457	3931
124480	4954
124481	3930
125504	4953
125505	3929
126528	4952
126529	3928
127552	4951
127553	3927
128576	4950
128577	3926
129600	4949
129601	3925
130624	4948
130625	3924
131648	4947
131649	3923
132672	4946
132673	3922
133696	4945
133697	3921
134720	4944
134721	3920
135744	4943
135745	3919
136768	4942
136769	3918
137792	4941
137793	3917
138816	4940
138817	3916
139840	4939
139841	3915
140864	4938
140865	3914
141888	4937
141889	3913
142912	4936
142913	3912
143936	4935
143937	3911
144960	4934
144961	3910
145984	4933
145985	3909
147008	4932
147009	3908
148032	4931
148033	3907
149056	4930
149057	3906
150080	4929
150081	3905
151104	4928
151105	3904
152128	4927
152129	3903
153152	4926
153153	3902
154176	4925
154177	3901
155200	4924
155201	3900
156224	4923
156225	3899
157248	4922
157249	3898
158272	4921
158273	3897
159296	4920
159297	3896
160320	4919
160321	3895
161344	4918
161345	3894
162368	4917
162369	3893
163392	4916
163393	3892
164416	4915
164417	3891
165440	4914
165441	3890
166464	4913
166465	3889
167488	4912
167489	3888
168512	4911
168513	3887
169536	4910
169537	3886
170560	4909
170561	3885
171584	4908
171585	3884
172608	4907
172609	3883
173632	4906
173633	3882
174656	4905
174657	3881
175680	4904
175681	3880
176704	4903
176705	3879
177728	4902
177729	3878
178752	4901
178753	3877
179776	4900
179777	3876
180800	4899
180801	3875
181824	4898
181825	3874
182848	4897
182849	3873
183872	4896
183873	3872
184896	4895
184897	3871
185920	4894
185921	3870
186944	4893
186945	3869
187968	4892
187969	3868
188992	4891
188993	3867
190016	4890
190017	3866
191040	4889
191041	3865
192064	4888
192065	3864
193088	4887
193089	3863
194112	4886
194113	3862
195136	4885
195137	3861
196160	4884
196161	3860
197184	4883
197185	3859
198208	4882
198209	3858
199232	4881
199233	3857
200256	4880
200257	3856
201280	4879
201281	3855
202304	4878
202305	3854
203328	4877
203329	3853
204352	4876
204353	3852
205376	4875
205377	3851
206400	4874
206401	3850
207424	4873
207425	3849
208448	4872
208449	3848
209472	4871
209473	3847
210496	4870
210497	3846
211520	4869
211521	3845
212544	4868
212545	3844
213568	4867
213569	3843
214592	4866
214593	3842
215616	4865
215617	3841
216640	4864
216641	3840
217664	4863
217665	3839
218688	4862
218689	3838
219712	4861
219713	3837
220736	4860
220737	3836
221760	4859
221761	3835
222784	4858
222785	3834
223808	4857
223809	3833
224832	4856
224833	3832
225856	4855
225857	3831
226880	4854
226881	3830
227904	4853
227905	3829
228928	4852
228929	3828
229952	4851
229953	3827
230976	4850
230977	3826
232000	4849
232001	3825
233024	4848
233025	3824
234048	4847
234049	3823
235072	4846
235073	3822
236096	4845
236097	3821
237120	4844
237121	3820
238144	4843
238145	3819
239168	4842
239169	3818
240192	4841
240193	3817
241216	4840
241217	3816
242240	4839
242241	3815
243264	4838
243265	3814
244288	4837
244289	3813
245312	4836
245313	3812
