x	y
0	2453
1598	4051
1599	3027
2622	4050
2623	3026
3646	4049
3647	3025
4670	4048
4671	3024
5694	4047
5695	3023
6718	4046
6719	3022
7742	4045
7743	3021
8766	4044
8767	3020
9790	4043
9791	3019
10814	4042
10815	3018
11838	4041
11839	3017
12862	4040
12863	3016
13886	4039
13887	3015
14910	4038
14911	3014
15934	4037
15935	3013
16958	4036
16959	3012
17982	4035
17983	3011
19006	4034
19007	3010
20030	4033
20031	3009
21054	4032
21055	3008
22078	4031
22079	3007
23102	4030
23103	3006
24126	4029
24127	3005
25150	4028
25151	3004
26174	4027
26175	3003
27198	4026
27199	3002
28222	4025
28223	3001
29246	4024
29247	3000
30270	4023
30271	2999
31294	4022
31295	2998
32318	4021
32319	2997
33342	4020
33343	2996
34366	4019
34367	2995
35390	4018
35391	2994
36414	4017
36415	2993
37438	4016
37439	2992
38462	4015
38463	2991
39486	4014
39487	2990
40510	4013
40511	2989
41534	4012
41535	2988
42558	4011
42559	2987
43582	4010
43583	2986
44606	4009
44607	2985
45630	4008
45631	2984
46654	4007
46655	2983
47678	4006
47679	2982
48702	4005
48703	2981
49726	4004
49727	2980
50750	4003
50751	2979
51774	4002
51775	2978
52798	4001
52799	2977
53822	4000
53823	2976
54846	3999
54847	2975
55870	3998
55871	2974
56894	3997
56895	2973
57918	3996
57919	2972
58942	3995
58943	2971
59966	3994
59967	2970
60990	3993
60991	2969
62014	3992
62015	2968
63038	3991
63039	2967
64062	3990
64063	2966
65086	3989
65087	2965
66110	3988
66111	2964
67134	3987
67135	2963
68158	3986
68159	2962
69182	3985
69183	2961
70206	3984
70207	2960
71230	3983
71231	2959
72254	3982
72255	2958
73278	3981
73279	2957
74302	3980
74303	2956
75326	3979
75327	2955
76350	3978
76351	2954
77374	3977
77375	2953
78398	3976
78399	2952
79422	3975
79423	2951
80446	3974
80447	2950
81470	3973
81471	2949
82494	3972
82495	2948
83518	3971
83519	2947
84542	3970
84543	2946
85566	3969
85567	2945
86590	3968
86591	2944
87614	3967
87615	2943
88638	3966
88639	2942
89662	3965
89663	2941
90686	3964
90687	2940
91710	3963
91711	2939
92734	3962
92735	2938
93758	3961
93759	2937
94782	3960
94783	2936
95806	3959
95807	2935
96830	3958
96831	2934
97854	3957
97855	2933
98878	3956
98879	2932
99902	3955
99903	2931
100926	3954
100927	2930
101950	3953
101951	2929
102974	3952
102975	2928
103998	3951
103999	2927
105022	3950
105023	2926
106046	3949
106047	2925
107070	3948
107071	2924
108094	3947
108095	2923
109118	3946
109119	2922
110142	3945
110143	2921
111166	3944
111167	2920
112190	3943
112191	2919
113214	3942
113215	2918
114238	3941
114239	2917
115262	3940
115263	2916
116286	3939
116287	2915
117310	3938
117311	2914
118334	3937
118335	2913
119358	3936
119359	2912
120382	3935
120383	2911
121406	3934
121407	2910
122430	3933
122431	2909
123454	3932
123455	2908
124478	3931
124479	2907
125502	3930
125503	2906
126526	3929
126527	2905
127550	3928
127551	2904
128574	3927
128575	2903
129598	3926
129599	2902
130622	3925
130623	2901
131646	3924
131647	2900
132670	3923
132671	2899
133694	3922
133695	2898
134718	3921
134719	2897
135742	3920
135743	2896
136766	3919
136767	2895
137790	3918
137791	2894
138814	3917
138815	2893
139838	3916
139839	2892
140862	3915
140863	2891
141886	3914
141887	2890
142910	3913
142911	2889
143934	3912
143935	2888
144958	3911
144959	2887
145982	3910
145983	2886
147006	3909
147007	2885
148030	3908
148031	2884
149054	3907
149055	2883
150078	3906
150079	2882
151102	3905
151103	2881
152126	3904
152127	2880
153150	3903
153151	2879
154174	3902
154175	2878
155198	3901
155199	2877
156222	3900
156223	2876
157246	3899
157247	2875
158270	3898
158271	2874
159294	3897
159295	2873
160318	3896
160319	2872
161342	3895
161343	2871
162366	3894
162367	2870
163390	3893
163391	2869
164414	3892
164415	2868
165438	3891
165439	2867
166462	3890
166463	2866
167486	3889
167487	2865
168510	3888
168511	2864
169534	3887
169535	2863
170558	3886
170559	2862
171582	3885
171583	2861
172606	3884
172607	2860
173630	3883
173631	2859
174654	3882
174655	2858
175678	3881
175679	2857
176702	3880
176703	2856
177726	3879
177727	2855
178750	3878
178751	2854
179774	3877
179775	2853
180798	3876
180799	2852
181822	3875
181823	2851
182846	3874
182847	2850
183870	3873
183871	2849
184894	3872
184895	2848
185918	3871
185919	2847
186942	3870
186943	2846
187966	3869
187967	2845
188990	3868
188991	2844
190014	3867
190015	2843
191038	3866
191039	2842
192062	3865
192063	2841
193086	3864
193087	2840
194110	3863
194111	2839
195134	3862
195135	2838
196158	3861
196159	2837
197182	3860
197183	2836
198206	3859
198207	2835
199230	3858
199231	2834
200254	3857
200255	2833
201278	3856
201279	2832
202302	3855
202303	2831
203326	3854
203327	2830
204350	3853
204351	2829
205374	3852
205375	2828
206398	3851
206399	2827
207422	3850
207423	2826
208446	3849
208447	2825
209470	3848
209471	2824
210494	3847
210495	2823
211518	3846
211519	2822
212542	3845
212543	2821
213566	3844
213567	2820
214590	3843
214591	2819
215614	3842
215615	2818
216638	3841
216639	2817
217662	3840
217663	2816
218686	3839
218687	2815
219710	3838
219711	2814
220734	3837
220735	2813
221758	3836
221759	2812
222782	3835
222783	2811
223806	3834
223807	2810
224830	3833
224831	2809
225854	3832
225855	2808
226878	3831
226879	2807
227902	3830
227903	2806
228926	3829
228927	2805
229950	3828
229951	2804
230974	3827
230975	2803
231998	3826
231999	2802
233022	3825
233023	2801
234046	3824
234047	2800
235070	3823
235071	2799
236094	3822
236095	2798
237118	3821
237119	2797
238142	3820
238143	2796
239166	3819
239167	2795
240190	3818
240191	2794
241214	3817
241215	2793
242238	3816
242239	2792
243262	3815
243263	2791
244286	3814
244287	2790
245310	3813
245311	2789
246334	3812
246335	2788
247358	3811
247359	2787
248382	3810
248383	2786
249406	3809
249407	2785
250430	3808
250431	2784
251454	3807
251455	2783
252478	3806
252479	2782
253502	3805
253503	2781
