x	y
0	882
64	946
65	818
192	945
193	817
320	944
321	816
448	943
449	815
576	942
577	814
704	941
705	813
832	940
833	812
960	939
961	811
1088	938
1089	810
1216	937
1217	809
1344	936
1345	808
1472	935
1473	807
1600	934
1601	806
1728	933
1729	805
1856	932
1857	804
1984	931
1985	803
2112	930
2113	802
2240	929
2241	801
2368	928
2369	800
2496	927
2497	799
2624	926
2625	798
2752	925
2753	797
2880	924
2881	796
3008	923
3009	795
3136	922
3137	794
3264	921
3265	793
3392	920
3393	792
3520	919
3521	791
3648	918
3649	790
3776	917
3777	789
3904	916
3905	788
4032	915
4033	787
4160	914
4161	786
4288	913
4289	785
4416	912
4417	784
4544	911
4545	783
4672	910
4673	782
4800	909
4801	781
4928	908
4929	780
5056	907
5057	779
5184	906
5185	778
5312	905
5313	777
5440	904
5441	776
5568	903
5569	775
5696	902
5697	774
5824	901
5825	773
5952	900
5953	772
6080	899
6081	771
6208	898
6209	770
6336	897
6337	769
6464	896
6465	768
6592	895
6593	767
6720	894
6721	766
6848	893
6849	765
6976	892
6977	764
7104	891
7105	763
7232	890
7233	762
7360	889
7361	761
7488	888
7489	760
7616	887
7617	759
7744	886
7745	758
7872	885
7873	757
8000	884
8001	756
8128	883
8129	755
8256	882
8257	754
8384	881
8385	753
8512	880
8513	752
8640	879
8641	751
8767	877
8768	749
8896	941
8897	813
9024	940
9025	812
9152	939
9153	811
9280	938
9281	810
9408	937
9409	809
9536	936
9537	808
9664	935
9665	807
9792	934
9793	806
9920	933
9921	805
10048	932
10049	804
10176	931
10177	803
10304	930
10305	802
10432	929
10433	801
10560	928
10561	800
10688	927
10689	799
10816	926
10817	798
10944	925
10945	797
11072	924
11073	796
11200	923
11201	795
11328	922
11329	794
11456	921
11457	793
11584	920
11585	792
11712	919
11713	791
11840	918
11841	790
11968	917
11969	789
12096	916
12097	788
12224	915
12225	787
12352	914
12353	786
12480	913
12481	785
12608	912
12609	784
12736	911
12737	783
12864	910
12865	782
12992	909
12993	781
13120	908
13121	780
13248	907
13249	779
13376	906
13377	778
13504	905
13505	777
13632	904
13633	776
13760	903
13761	775
13888	902
13889	774
14016	901
14017	773
14144	900
14145	772
14272	899
14273	771
14400	898
14401	770
14528	897
14529	769
14656	896
14657	768
14784	895
14785	767
14912	894
14913	766
15040	893
15041	765
15168	892
15169	764
15296	891
15297	763
15424	890
15425	762
15552	889
15553	761
15680	888
15681	760
15808	887
15809	759
15936	886
15937	758
16064	885
16065	757
16192	884
16193	756
16320	883
16321	755
16448	882
16449	754
16576	881
16577	753
16704	880
16705	752
16832	879
16833	751
16959	877
16960	749
17088	941
17089	813
17216	940
17217	812
17344	939
17345	811
17472	938
17473	810
17600	937
17601	809
17728	936
17729	808
17856	935
17857	807
17984	934
17985	806
18112	933
18113	805
18240	932
18241	804
18368	931
18369	803
18496	930
18497	802
18624	929
18625	801
18752	928
18753	800
18880	927
18881	799
19008	926
19009	798
19136	925
19137	797
19264	924
19265	796
19392	923
19393	795
19520	922
19521	794
19648	921
19649	793
19776	920
19777	792
19904	919
19905	791
20032	918
20033	790
20160	917
20161	789
20288	916
20289	788
20416	915
20417	787
20544	914
20545	786
20672	913
20673	785
20800	912
20801	784
20928	911
20929	783
21056	910
21057	782
21184	909
21185	781
21312	908
21313	780
21440	907
21441	779
21568	906
21569	778
21696	905
21697	777
21824	904
21825	776
21952	903
21953	775
22080	902
22081	774
22208	901
22209	773
22336	900
22337	772
22464	899
22465	771
22592	898
22593	770
22720	897
22721	769
22848	896
22849	768
22976	895
22977	767
23104	894
23105	766
23232	893
23233	765
23360	892
23361	764
23488	891
23489	763
23616	890
23617	762
23744	889
23745	761
23872	888
23873	760
24000	887
24001	759
24128	886
24129	758
24256	885
24257	757
24384	884
24385	756
24512	883
24513	755
24640	882
24641	754
24768	881
24769	753
24896	880
24897	752
25024	879
25025	751
25151	877
25152	749
25280	941
25281	813
25408	940
25409	812
25536	939
25537	811
25664	938
25665	810
25792	937
25793	809
25920	936
25921	808
26048	935
26049	807
26176	934
26177	806
26304	933
26305	805
26432	932
26433	804
26560	931
26561	803
26688	930
26689	802
26816	929
26817	801
26944	928
26945	800
27072	927
27073	799
27200	926
27201	798
27328	925
27329	797
27456	924
27457	796
27584	923
27585	795
27712	922
27713	794
27840	921
27841	793
27968	920
27969	792
28096	919
28097	791
28224	918
28225	790
28352	917
28353	789
28480	916
28481	788
28608	915
28609	787
28736	914
28737	786
28864	913
28865	785
28992	912
28993	784
29120	911
29121	783
29248	910
29249	782
29376	909
29377	781
29504	908
29505	780
29632	907
29633	779
29760	906
29761	778
29888	905
29889	777
30016	904
30017	776
30144	903
30145	775
30272	902
30273	774
30400	901
30401	773
30528	900
30529	772
30656	899
30657	771
30784	898
30785	770
30912	897
30913	769
31040	896
31041	768
31168	895
31169	767
31296	894
31297	766
31424	893
31425	765
31552	892
31553	764
31680	891
31681	763
31808	890
31809	762
31936	889
31937	761
32064	888
32065	760
32192	887
32193	759
32320	886
32321	758
32448	885
32449	757
32576	884
32577	756
32704	883
32705	755
32832	882
32833	754
32960	881
32961	753
33088	880
33089	752
33216	879
33217	751
33343	877
33344	749
33472	941
33473	813
33600	940
33601	812
33728	939
33729	811
33856	938
33857	810
33984	937
33985	809
34112	936
34113	808
34240	935
34241	807
34368	934
34369	806
34496	933
34497	805
34624	932
34625	804
34752	931
34753	803
34880	930
34881	802
35008	929
35009	801
35136	928
35137	800
35264	927
35265	799
35392	926
35393	798
35520	925
35521	797
35648	924
35649	796
35776	923
35777	795
35904	922
35905	794
36032	921
36033	793
36160	920
36161	792
36288	919
36289	791
36416	918
36417	790
36544	917
36545	789
36672	916
36673	788
36800	915
36801	787
36928	914
36929	786
37056	913
37057	785
37184	912
37185	784
37312	911
37313	783
37440	910
37441	782
37568	909
37569	781
37696	908
37697	780
37824	907
37825	779
37952	906
37953	778
38080	905
38081	777
38208	904
38209	776
38336	903
38337	775
38464	902
38465	774
38592	901
38593	773
38720	900
38721	772
38848	899
38849	771
38976	898
38977	770
39104	897
39105	769
39232	896
39233	768
39360	895
39361	767
39488	894
39489	766
39616	893
39617	765
39744	892
39745	764
39872	891
39873	763
40000	890
40001	762
40128	889
40129	761
40256	888
40257	760
40384	887
40385	759
40512	886
40513	758
40640	885
40641	757
40768	884
40769	756
40896	883
40897	755
41024	882
41025	754
41152	881
41153	753
41280	880
41281	752
41408	879
41409	751
41535	877
41536	749
41664	941
41665	813
41792	940
41793	812
41920	939
41921	811
42048	938
42049	810
42176	937
42177	809
42304	936
42305	808
42432	935
42433	807
42560	934
42561	806
42688	933
42689	805
42816	932
42817	804
42944	931
42945	803
43072	930
43073	802
43200	929
43201	801
43328	928
43329	800
43456	927
43457	799
43584	926
43585	798
43712	925
43713	797
43840	924
43841	796
43968	923
43969	795
44096	922
44097	794
44224	921
44225	793
44352	920
44353	792
44480	919
44481	791
44608	918
44609	790
44736	917
44737	789
44864	916
44865	788
44992	915
44993	787
45120	914
45121	786
45248	913
