x	y
0	5
4	11
6	9
7	13
9	11
11	19
15	15
16	21
21	16
22	23
28	17
29	25
35	19
37	35
45	27
46	37
55	28
56	39
66	29
67	41
78	30
79	43
91	31
92	45
105	32
106	47
120	33
121	49
135	35
137	67
153	51
154	69
171	52
172	71
190	53
191	73
210	54
211	75
231	55
232	77
253	56
254	79
276	57
277	81
300	58
301	83
325	59
326	85
351	60
352	87
378	61
379	89
406	62
407	91
435	63
436	93
465	64
466	95
496	65
497	97
527	67
529	131
561	99
562	133
595	100
596	135
630	101
631	137
666	102
667	139
703	103
704	141
741	104
742	143
780	105
781	145
820	106
821	147
861	107
862	149
903	108
904	151
946	109
947	153
990	110
991	155
1035	111
1036	157
1081	112
1082	159
1128	113
1129	161
1176	114
1177	163
1225	115
1226	165
1275	116
1276	167
1326	117
1327	169
1378	118
1379	171
1431	119
1432	173
1485	120
1486	175
1540	121
1541	177
1596	122
1597	179
1653	123
1654	181
1711	124
1712	183
1770	125
1771	185
1830	126
1831	187
1891	127
1892	189
1953	128
1954	191
2016	129
2017	193
2079	131
2081	259
2145	195
2146	261
2211	196
2212	263
2278	197
2279	265
2346	198
2347	267
2415	199
2416	269
2485	200
2486	271
2556	201
2557	273
2628	202
2629	275
2701	203
2702	277
2775	204
2776	279
2850	205
2851	281
2926	206
2927	283
3003	207
3004	285
3081	208
3082	287
3160	209
3161	289
3240	210
3241	291
3321	211
3322	293
3403	212
3404	295
3486	213
3487	297
3570	214
3571	299
3655	215
3656	301
3741	216
3742	303
3828	217
3829	305
3916	218
3917	307
4005	219
4006	309
4095	220
4096	311
4186	221
4187	313
4278	222
4279	315
4371	223
4372	317
4465	224
4466	319
4560	225
4561	321
4656	226
4657	323
4753	227
4754	325
4851	228
4852	327
4950	229
4951	329
5050	230
5051	331
5151	231
5152	333
5253	232
5254	335
5356	233
5357	337
5460	234
5461	339
5565	235
5566	341
5671	236
5672	343
5778	237
5779	345
5886	238
5887	347
5995	239
5996	349
6105	240
6106	351
6216	241
6217	353
6328	242
6329	355
6441	243
6442	357
6555	244
6556	359
6670	245
6671	361
6786	246
6787	363
6903	247
6904	365
7021	248
7022	367
7140	249
7141	369
7260	250
7261	371
7381	251
7382	373
7503	252
7504	375
7626	253
7627	377
7750	254
7751	379
7875	255
7876	381
8001	256
8002	383
8128	257
8129	385
8255	259
8257	515
8385	387
8386	517
8515	388
8516	519
8646	389
8647	521
8778	390
8779	523
8911	391
8912	525
9045	392
9046	527
9180	393
9181	529
9316	394
9317	531
9453	395
9454	533
9591	396
9592	535
9730	397
9731	537
9870	398
9871	539
10011	399
10012	541
10153	400
10154	543
10296	401
10297	545
10440	402
10441	547
10585	403
10586	549
10731	404
10732	551
10878	405
10879	553
11026	406
11027	555
11175	407
11176	557
11325	408
11326	559
11476	409
11477	561
11628	410
11629	563
11781	411
11782	565
11935	412
11936	567
12090	413
12091	569
12246	414
12247	571
12403	415
12404	573
12561	416
12562	575
12720	417
12721	577
12880	418
12881	579
13041	419
13042	581
13203	420
13204	583
13366	421
13367	585
13530	422
13531	587
13695	423
13696	589
13861	424
13862	591
14028	425
14029	593
14196	426
14197	595
14365	427
14366	597
14535	428
14536	599
14706	429
14707	601
14878	430
14879	603
15051	431
15052	605
