x	y
0	6
3	11
4	11
5	10
7	19
8	19
11	16
12	20
15	17
16	21
19	18
20	22
22	20
23	35
27	28
28	32
31	29
32	37
39	30
40	38
47	31
48	39
55	32
56	40
63	33
64	41
71	34
72	42
78	36
79	67
87	52
88	60
95	53
96	61
103	54
104	62
111	55
112	63
119	56
120	64
127	57
128	73
143	58
144	74
159	59
160	75
175	60
176	76
191	61
192	77
207	62
208	78
223	63
224	79
239	64
240	80
255	65
256	81
271	66
272	82
286	68
287	131
303	100
304	116
319	101
320	117
335	102
336	118
351	103
352	119
367	104
368	120
383	105
384	121
399	106
400	122
415	107
416	123
431	108
432	124
447	109
448	125
463	110
464	126
479	111
480	127
495	112
496	128
511	113
512	145
543	114
544	146
575	115
576	147
607	116
608	148
639	117
640	149
671	118
672	150
703	119
704	151
735	120
736	152
767	121
768	153
799	122
800	154
831	123
832	155
863	124
864	156
895	125
896	157
927	126
928	158
959	127
960	159
991	128
992	160
1023	129
1024	161
1055	130
1056	162
1086	132
1087	259
1119	196
1120	228
1151	197
1152	229
1183	198
1184	230
1215	199
1216	231
1247	200
1248	232
1279	201
1280	233
1311	202
1312	234
1343	203
1344	235
1375	204
1376	236
1407	205
1408	237
1439	206
1440	238
1471	207
1472	239
1503	208
1504	240
1535	209
1536	241
1567	210
1568	242
1599	211
1600	243
1631	212
1632	244
1663	213
1664	245
1695	214
1696	246
1727	215
1728	247
1759	216
1760	248
1791	217
1792	249
1823	218
1824	250
1855	219
1856	251
1887	220
1888	252
1919	221
1920	253
1951	222
1952	254
1983	223
1984	255
2015	224
2016	256
2047	225
2048	289
2111	226
2112	290
2175	227
2176	291
2239	228
2240	292
2303	229
2304	293
2367	230
2368	294
2431	231
2432	295
2495	232
2496	296
2559	233
2560	297
2623	234
2624	298
2687	235
2688	299
2751	236
2752	300
2815	237
2816	301
2879	238
2880	302
2943	239
2944	303
3007	240
3008	304
3071	241
3072	305
3135	242
3136	306
3199	243
3200	307
3263	244
3264	308
3327	245
3328	309
3391	246
3392	310
3455	247
3456	311
3519	248
3520	312
3583	249
3584	313
3647	250
3648	314
3711	251
3712	315
3775	252
3776	316
3839	253
3840	317
3903	254
3904	318
3967	255
3968	319
4031	256
4032	320
4095	257
4096	321
4159	258
4160	322
4222	260
4223	515
4287	388
4288	452
4351	389
4352	453
4415	390
4416	454
4479	391
4480	455
4543	392
4544	456
4607	393
4608	457
4671	394
4672	458
4735	395
4736	459
4799	396
4800	460
4863	397
4864	461
4927	398
4928	462
4991	399
4992	463
5055	400
5056	464
5119	401
5120	465
5183	402
5184	466
5247	403
5248	467
5311	404
5312	468
5375	405
5376	469
5439	406
5440	470
5503	407
5504	471
5567	408
5568	472
5631	409
5632	473
5695	410
5696	474
5759	411
5760	475
5823	412
5824	476
5887	413
5888	477
5951	414
5952	478
6015	415
6016	479
6079	416
6080	480
6143	417
6144	481
6207	418
6208	482
6271	419
6272	483
6335	420
6336	484
6399	421
6400	485
6463	422
6464	486
6527	423
6528	487
6591	424
6592	488
6655	425
6656	489
6719	426
6720	490
6783	427
6784	491
6847	428
6848	492
6911	429
6912	493
6975	430
6976	494
7039	431
7040	495
7103	432
7104	496
7167	433
7168	497
7231	434
7232	498
7295	435
7296	499
7359	436
7360	500
7423	437
7424	501
7487	438
7488	502
7551	439
7552	503
7615	440
7616	504
7679	441
7680	505
7743	442
7744	506
7807	443
7808	507
7871	444
7872	508
7935	445
7936	509
7999	446
8000	510
8063	447
8064	511
8127	448
8128	512
8191	449
8192	577
8319	450
8320	578
8447	451
8448	579
8575	452
8576	580
8703	453
8704	581
8831	454
8832	582
8959	455
8960	583
9087	456
9088	584
9215	457
9216	585
9343	458
9344	586
9471	459
9472	587
9599	460
9600	588
9727	461
9728	589
9855	462
9856	590
9983	463
9984	591
10111	464
10112	592
10239	465
10240	593
10367	466
10368	594
10495	467
10496	595
10623	468
10624	596
10751	469
10752	597
10879	470
10880	598
11007	471
11008	599
11135	472
11136	600
11263	473
11264	601
11391	474
11392	602
11519	475
11520	603
11647	476
11648	604
11775	477
11776	605
11903	478
11904	606
12031	479
12032	607
12159	480
12160	608
12287	481
12288	609
12415	482
12416	610
12543	483
12544	611
12671	484
12672	612
12799	485
12800	613
12927	486
12928	614
13055	487
13056	615
13183	488
13184	616
13311	489
13312	617
13439	490
13440	618
13567	491
13568	619
13695	492
13696	620
13823	493
13824	621
13951	494
13952	622
14079	495
14080	623
14207	496
14208	624
14335	497
14336	625
14463	498
14464	626
14591	499
14592	627
14719	500
14720	628
14847	501
14848	629
14975	502
14976	630
15103	503
15104	631
15231	504
15232	632
15359	505
15360	633
15487	506
15488	634
15615	507
15616	635
15743	508
15744	636
15871	509
15872	637
15999	510
16000	638
16127	511
16128	639
16255	512
16256	640
16383	513
16384	641
16511	514
16512	642
16638	516
16639	1027
16767	772
16768	900
16895	773
16896	901
17023	774
17024	902
17151	775
17152	903
17279	776
17280	904
17407	777
17408	905
17535	778
17536	906
17663	779
17664	907
17791	780
17792	908
17919	781
17920	909
18047	782
18048	910
18175	783
18176	911
18303	784
18304	912
18431	785
18432	913
18559	786
18560	914
18687	787
18688	915
18815	788
18816	916
18943	789
18944	917
19071	790
19072	918
19199	791
19200	919
19327	792
19328	920
19455	793
19456	921
19583	794
19584	922
19711	795
19712	923
19839	796
19840	924
19967	797
19968	925
20095	798
20096	926
20223	799
20224	927
20351	800
20352	928
20479	801
20480	929
20607	802
20608	930
20735	803
20736	931
20863	804
20864	932
20991	805
20992	933
21119	806
21120	934
21247	807
21248	935
21375	808
21376	936
21503	809
21504	937
21631	810
21632	938
21759	811
21760	939
21887	812
21888	940
22015	813
22016	941
22143	814
22144	942
22271	815
22272	943
22399	816
22400	944
22527	817
22528	945
22655	818
22656	946
22783	819
22784	947
22911	820
22912	948
23039	821
23040	949
23167	822
23168	950
23295	823
23296	951
23423	824
23424	952
23551	825
23552	953
23679	826
23680	954
23807	827
23808	955
23935	828
23936	956
24063	829
24064	957
24191	830
24192	958
24319	831
24320	959
24447	832
24448	960
24575	833
24576	961
24703	834
24704	962
24831	835
24832	963
24959	836
24960	964
25087	837
25088	965
25215	838
25216	966
25343	839
25344	967
25471	840
25472	968
25599	841
25600	969
25727	842
25728	970
25855	843
25856	971
25983	844
25984	972
26111	845
26112	973
26239	846
26240	974
26367	847
26368	975
26495	848
26496	976
26623	849
26624	977
26751	850
26752	978
26879	851
26880	979
27007	852
27008	980
27135	853
27136	981
27263	854
27264	982
27391	855
27392	983
27519	856
27520	984
27647	857
27648	985
27775	858
27776	986
27903	859
27904	987
28031	860
28032	988
28159	861
28160	989
28287	862
28288	990
28415	863
28416	991
28543	864
28544	992
28671	865
28672	993
28799	866
28800	994
28927	867
28928	995
29055	868
29056	996
29183	869
29184	997
29311	870
29312	998
29439	871
29440	999
29567	872
29568	1000
29695	873
29696	1001
29823	874
29824	1002
29951	875
29952	1003
30079	876
30080	1004
30207	877
30208	1005
30335	878
30336	1006
30463	879
30464	1007
30591	880
30592	1008
30719	881
30720	1009
30847	882
30848	1010
30975	883
30976	1011
31103	884
31104	1012
31231	885
31232	1013
31359	886
31360	1014
31487	887
31488	1015
31615	888
31616	1016
31743	889
31744	1017
31871	890
31872	1018
31999	891
32000	1019
32127	892
32128	1020
32255	893
32256	1021
32383	894
32384	1022
32511	895
32512	1023
32639	896
32640	1024
32767	897
32768	1153
33023	898
33024	1154
33279	899
33280	1155
33535	900
33536	1156
33791	901
33792	1157
34047	902
34048	1158
34303	903
34304	1159
34559	904
34560	1160
34815	905
34816	1161
35071	906
35072	1162
35327	907
35328	1163
35583	908
35584	1164
35839	909
35840	1165
36095	910
36096	1166
36351	911
36352	1167
36607	912
36608	1168
36863	913
36864	1169
37119	914
37120	1170
37375	915
37376	1171
37631	916
37632	1172
37887	917
37888	1173
38143	918
38144	1174
38399	919
38400	1175
38655	920
38656	1176
38911	921
38912	1177
39167	922
39168	1178
39423	923
39424	1179
39679	924
39680	1180
39935	925
39936	1181
40191	926
40192	1182
40447	927
40448	1183
40703	928
40704	1184
40959	929
40960	1185
41215	930
41216	1186
41471	931
41472	1187
41727	932
41728	1188
41983	933
41984	1189
42239	934
42240	1190
42495	935
42496	1191
42751	936
42752	1192
43007	937
43008	1193
43263	938
43264	1194
43519	939
43520	1195
43775	940
43776	1196
44031	941
44032	1197
44287	942
44288	1198
44543	943
44544	1199
44799	944
44800	1200
45055	945
45056	1201
45311	946
45312	1202
45567	947
45568	1203
45823	948
45824	1204
46079	949
46080	1205
46335	950
46336	1206
46591	951
46592	1207
46847	952
46848	1208
47103	953
47104	1209
47359	954
47360	1210
47615	955
47616	1211
47871	956
47872	1212
48127	957
48128	1213
48383	958
48384	1214
48639	959
48640	1215
48895	960
48896	1216
49151	961
49152	1217
49407	962
49408	1218
49663	963
49664	1219
49919	964
49920	1220
50175	965
50176	1221
50431	966
50432	1222
50687	967
50688	1223
50943	968
50944	1224
51199	969
51200	1225
51455	970
51456	1226
51711	971
51712	1227
51967	972
51968	1228
52223	973
52224	1229
52479	974
52480	1230
52735	975
52736	1231
52991	976
52992	1232
53247	977
53248	1233
53503	978
53504	1234
53759	979
53760	1235
54015	980
54016	1236
54271	981
54272	1237
54527	982
54528	1238
54783	983
54784	1239
55039	984
55040	1240
55295	985
55296	1241
55551	986
55552	1242
55807	987
55808	1243
56063	988
56064	1244
56319	989
56320	1245
56575	990
56576	1246
56831	991
56832	1247
57087	992
57088	1248
57343	993
57344	1249
57599	994
57600	1250
57855	995
57856	1251
58111	996
58112	1252
58367	997
58368	1253
58623	998
58624	1254
58879	999
58880	1255
59135	1000
59136	1256
59391	1001
59392	1257
59647	1002
59648	1258
59903	1003
59904	1259
60159	1004
60160	1260
60415	1005
60416	1261
60671	1006
60672	1262
60927	1007
60928	1263
61183	1008
61184	1264
61439	1009
61440	1265
61695	1010
61696	1266
61951	1011
61952	1267
62207	1012
62208	1268
62463	1013
62464	1269
62719	1014
62720	1270
62975	1015
62976	1271
63231	1016
63232	1272
63487	1017
63488	1273
63743	1018
63744	1274
63999	1019
64000	1275
64255	1020
64256	1276
64511	1021
64512	1277
64767	1022
64768	1278
65023	1023
65024	1279
65279	1024
65280	1280
65535	1025
65536	1281
65791	1026
65792	1282
66046	1028
66047	2051
66303	1540
66304	1796
66559	1541
66560	1797
66815	1542
66816	1798
67071	1543
67072	1799
67327	1544
67328	1800
67583	1545
67584	1801
67839	1546
67840	1802
68095	1547
68096	1803
68351	1548
68352	1804
68607	1549
68608	1805
68863	1550
68864	1806
69119	1551
69120	1807
69375	1552
69376	1808
69631	1553
69632	1809
69887	1554
69888	1810
70143	1555
70144	1811
70399	1556
70400	1812
70655	1557
70656	1813
70911	1558
70912	1814
71167	1559
71168	1815
71423	1560
71424	1816
71679	1561
71680	1817
71935	1562
71936	1818
72191	1563
72192	1819
72447	1564
72448	1820
72703	1565
72704	1821
72959	1566
72960	1822
73215	1567
73216	1823
73471	1568
73472	1824
73727	1569
73728	1825
73983	1570
73984	1826
74239	1571
74240	1827
74495	1572
74496	1828
74751	1573
74752	1829
75007	1574
75008	1830
75263	1575
75264	1831
75519	1576
75520	1832
75775	1577
75776	1833
76031	1578
76032	1834
76287	1579
76288	1835
76543	1580
76544	1836
76799	1581
76800	1837
77055	1582
77056	1838
77311	1583
77312	1839
77567	1584
77568	1840
77823	1585
77824	1841
78079	1586
78080	1842
78335	1587
78336	1843
78591	1588
78592	1844
78847	1589
78848	1845
79103	1590
79104	1846
79359	1591
79360	1847
79615	1592
79616	1848
79871	1593
79872	1849
80127	1594
80128	1850
80383	1595
80384	1851
80639	1596
80640	1852
80895	1597
80896	1853
81151	1598
81152	1854
81407	1599
81408	1855
81663	1600
81664	1856
81919	1601
81920	1857
82175	1602
82176	1858
82431	1603
82432	1859
82687	1604
82688	1860
82943	1605
82944	1861
83199	1606
83200	1862
83455	1607
83456	1863
83711	1608
83712	1864
83967	1609
83968	1865
84223	1610
84224	1866
84479	1611
84480	1867
84735	1612
84736	1868
84991	1613
84992	1869
85247	1614
85248	1870
85503	1615
85504	1871
85759	1616
85760	1872
