x	y
0	5
1	9
3	7
4	13
7	9
8	13
11	10
12	14
15	11
16	24
23	14
24	22
31	15
32	23
39	16
40	24
47	17
48	25
55	18
56	26
63	19
64	46
79	24
80	40
95	25
96	41
111	26
112	42
127	27
128	43
143	28
144	44
159	29
160	45
175	30
176	46
191	31
192	47
207	32
208	48
223	33
224	49
239	34
240	50
255	35
256	90
287	44
288	76
319	45
320	77
351	46
352	78
383	47
384	79
415	48
416	80
447	49
448	81
479	50
480	82
511	51
512	83
543	52
544	84
575	53
576	85
607	54
608	86
639	55
640	87
671	56
672	88
703	57
704	89
735	58
736	90
767	59
768	91
799	60
800	92
831	61
832	93
863	62
864	94
895	63
896	95
927	64
928	96
959	65
960	97
991	66
992	98
1023	67
1024	178
1087	84
1088	148
1151	85
1152	149
1215	86
1216	150
1279	87
1280	151
1343	88
1344	152
1407	89
1408	153
1471	90
1472	154
1535	91
1536	155
1599	92
1600	156
1663	93
1664	157
1727	94
1728	158
1791	95
1792	159
1855	96
1856	160
1919	97
1920	161
1983	98
1984	162
2047	99
2048	163
2111	100
2112	164
2175	101
2176	165
2239	102
2240	166
2303	103
2304	167
2367	104
2368	168
2431	105
2432	169
2495	106
2496	170
2559	107
2560	171
2623	108
2624	172
2687	109
2688	173
2751	110
2752	174
2815	111
2816	175
2879	112
2880	176
2943	113
2944	177
3007	114
3008	178
3071	115
3072	179
3135	116
3136	180
3199	117
3200	181
3263	118
3264	182
3327	119
3328	183
3391	120
3392	184
3455	121
3456	185
3519	122
3520	186
3583	123
3584	187
3647	124
3648	188
3711	125
3712	189
3775	126
3776	190
3839	127
3840	191
3903	128
3904	192
3967	129
3968	193
4031	130
4032	194
4095	131
4096	354
4223	164
4224	292
4351	165
4352	293
4479	166
4480	294
4607	167
4608	295
4735	168
4736	296
4863	169
4864	297
4991	170
4992	298
5119	171
5120	299
5247	172
5248	300
5375	173
5376	301
5503	174
5504	302
5631	175
5632	303
5759	176
5760	304
5887	177
5888	305
6015	178
6016	306
6143	179
6144	307
6271	180
6272	308
6399	181
6400	309
6527	182
6528	310
6655	183
6656	311
6783	184
6784	312
6911	185
6912	313
7039	186
7040	314
7167	187
7168	315
7295	188
7296	316
7423	189
7424	317
7551	190
7552	318
7679	191
7680	319
7807	192
7808	320
7935	193
7936	321
8063	194
8064	322
8191	195
8192	323
8319	196
8320	324
8447	197
8448	325
8575	198
8576	326
8703	199
8704	327
8831	200
8832	328
8959	201
8960	329
9087	202
9088	330
9215	203
9216	331
9343	204
9344	332
9471	205
9472	333
9599	206
9600	334
9727	207
9728	335
9855	208
9856	336
9983	209
9984	337
10111	210
10112	338
10239	211
10240	339
10367	212
10368	340
10495	213
10496	341
10623	214
10624	342
10751	215
10752	343
10879	216
10880	344
11007	217
11008	345
11135	218
11136	346
11263	219
11264	347
11391	220
11392	348
11519	221
11520	349
11647	222
11648	350
11775	223
11776	351
11903	224
11904	352
12031	225
12032	353
12159	226
12160	354
12287	227
12288	355
12415	228
12416	356
12543	229
12544	357
12671	230
12672	358
12799	231
12800	359
12927	232
12928	360
13055	233
13056	361
13183	234
13184	362
13311	235
13312	363
13439	236
13440	364
13567	237
13568	365
13695	238
13696	366
13823	239
13824	367
13951	240
13952	368
14079	241
14080	369
14207	242
14208	370
14335	243
14336	371
14463	244
14464	372
14591	245
14592	373
14719	246
14720	374
14847	247
14848	375
14975	248
14976	376
15103	249
15104	377
15231	250
15232	378
15359	251
15360	379
15487	252
15488	380
15615	253
15616	381
15743	254
15744	382
15871	255
15872	383
15999	256
16000	384
16127	257
16128	385
16255	258
16256	386
16383	259
16384	706
16639	324
16640	580
16895	325
16896	581
17151	326
17152	582
17407	327
17408	583
17663	328
17664	584
17919	329
17920	585
18175	330
18176	586
18431	331
18432	587
18687	332
18688	588
18943	333
18944	589
19199	334
19200	590
19455	335
19456	591
19711	336
19712	592
19967	337
19968	593
20223	338
20224	594
20479	339
20480	595
20735	340
20736	596
20991	341
20992	597
21247	342
21248	598
21503	343
21504	599
21759	344
21760	600
22015	345
22016	601
22271	346
22272	602
22527	347
22528	603
22783	348
22784	604
23039	349
23040	605
23295	350
23296	606
23551	351
23552	607
23807	352
23808	608
24063	353
24064	609
24319	354
24320	610
24575	355
24576	611
24831	356
24832	612
25087	357
25088	613
25343	358
25344	614
25599	359
25600	615
25855	360
25856	616
26111	361
26112	617
26367	362
26368	618
26623	363
26624	619
26879	364
26880	620
