x	y
0	22
2	29
3	28
6	38
7	37
8	39
9	38
12	44
13	43
15	48
17	43
20	56
23	53
24	57
27	54
28	58
30	56
31	63
35	54
36	58
38	56
40	64
43	61
44	65
47	62
48	66
51	63
52	67
55	64
56	68
59	65
60	69
62	67
63	82
67	63
68	67
71	64
72	68
75	65
76	69
78	67
79	82
83	74
84	78
87	75
88	79
91	76
92	80
94	78
95	93
99	74
100	78
103	75
104	79
107	76
108	80
110	78
111	93
115	74
116	78
119	75
120	79
123	76
124	80
126	78
127	93
131	74
132	78
135	75
136	79
139	76
140	80
142	78
143	93
151	75
152	83
159	76
160	84
167	77
168	85
175	78
176	86
183	79
184	87
190	81
191	112
199	77
200	85
207	78
208	86
215	79
216	87
222	81
223	112
231	77
232	85
239	78
240	86
247	79
248	87
254	81
255	112
263	77
264	85
271	78
272	86
279	79
280	87
286	81
288	119
295	112
296	120
303	113
304	121
311	114
312	122
319	115
320	123
327	116
328	124
335	117
336	125
343	118
344	126
351	119
352	127
359	120
360	128
367	121
368	129
375	122
376	130
382	124
383	187
391	116
392	124
399	117
400	125
407	118
408	126
415	119
416	127
423	120
424	128
431	121
432	129
439	122
440	130
446	124
447	187
455	116
456	124
463	117
464	125
471	118
472	126
479	119
480	127
487	120
488	128
495	121
496	129
503	122
504	130
510	124
511	187
519	116
520	124
527	117
528	125
535	118
536	126
543	119
544	127
551	120
552	128
559	121
560	129
567	122
568	130
574	124
575	187
583	119
584	127
591	120
592	128
599	121
600	129
607	122
608	130
615	123
616	131
623	124
624	132
631	125
632	133
638	127
639	190
647	119
648	127
655	120
656	128
663	121
664	129
671	122
672	130
679	123
680	131
687	124
688	132
695	125
696	133
702	127
703	190
711	119
712	127
719	120
720	128
727	121
728	129
735	122
736	130
743	123
744	131
751	124
752	132
759	125
760	133
766	127
767	190
775	119
776	127
783	120
784	128
791	121
792	129
799	122
800	130
807	123
808	131
815	124
816	132
823	125
824	133
830	127
831	190
839	119
840	127
847	120
848	128
855	121
856	129
863	122
864	130
871	123
872	131
879	124
880	132
887	125
888	133
894	127
895	190
903	119
904	127
911	120
912	128
919	121
920	129
927	122
928	130
935	123
936	131
943	124
944	132
951	125
952	133
958	127
959	190
967	119
968	127
975	120
976	128
983	121
984	129
991	122
992	130
999	123
1000	131
1007	124
1008	132
1015	125
1016	133
1022	127
1023	190
1031	119
1032	127
1039	120
1040	128
1047	121
1048	129
1055	122
1056	130
1063	123
1064	131
1071	124
1072	132
1079	125
1080	133
1086	127
1087	190
1103	118
1104	134
1119	119
1120	135
1135	120
1136	136
1151	121
1152	137
1167	122
1168	138
1183	123
1184	139
1199	124
1200	140
1215	125
1216	141
1231	126
1232	142
1247	127
1248	143
1263	128
1264	144
1278	130
1279	257
1295	122
1296	138
1311	123
1312	139
1327	124
1328	140
1343	125
1344	141
1359	126
1360	142
1375	127
1376	143
1391	128
1392	144
1406	130
1407	257
1423	122
1424	138
1439	123
1440	139
1455	124
1456	140
1471	125
1472	141
1487	126
1488	142
1503	127
1504	143
1519	128
1520	144
1534	130
1535	257
1551	122
1552	138
1567	123
1568	139
1583	124
1584	140
1599	125
1600	141
1615	126
1616	142
1631	127
1632	143
1647	128
1648	144
1662	130
1663	257
1679	154
1680	170
1695	155
1696	171
1711	156
1712	172
1727	157
1728	173
1743	158
1744	174
1759	159
1760	175
1775	160
1776	176
1790	162
1791	289
1807	154
1808	170
1823	155
1824	171
1839	156
1840	172
1855	157
1856	173
1871	158
1872	174
1887	159
1888	175
1903	160
1904	176
1918	162
1919	289
1935	154
1936	170
1951	155
1952	171
1967	156
1968	172
1983	157
1984	173
1999	158
2000	174
2015	159
2016	175
2031	160
2032	176
2046	162
2047	289
2063	154
2064	170
2079	155
2080	171
2095	156
2096	172
2111	157
2112	173
2127	158
2128	174
2143	159
2144	175
2159	160
2160	176
2174	162
2175	289
2191	173
2192	189
2207	174
2208	190
2223	175
2224	191
2239	176
2240	192
2255	177
2256	193
2271	178
2272	194
2287	179
2288	195
2303	180
2304	196
2319	181
2320	197
2335	182
2336	198
2351	183
2352	199
2367	184
2368	200
2383	185
2384	201
2399	186
2400	202
2415	187
2416	203
2431	188
2432	204
2447	189
2448	205
2463	190
2464	206
2479	191
2480	207
2495	192
2496	208
2511	193
2512	209
2527	194
2528	210
2543	195
2544	211
2558	197
2559	452
2575	181
2576	197
2591	182
2592	198
2607	183
2608	199
2623	184
2624	200
2639	185
2640	201
2655	186
2656	202
2671	187
2672	203
2687	188
2688	204
2703	189
2704	205
2719	190
2720	206
2735	191
2736	207
2751	192
2752	208
2767	193
2768	209
2783	194
2784	210
2799	195
2800	211
2814	197
2815	452
2831	181
2832	197
2847	182
2848	198
2863	183
2864	199
2879	184
2880	200
2895	185
2896	201
2911	186
2912	202
2927	187
2928	203
2943	188
2944	204
2959	189
2960	205
2975	190
2976	206
2991	191
2992	207
3007	192
3008	208
3023	193
3024	209
3039	194
3040	210
3055	195
3056	211
3070	197
3071	452
3087	181
3088	197
3103	182
3104	198
3119	183
3120	199
3135	184
3136	200
3151	185
3152	201
3167	186
3168	202
3183	187
3184	203
3199	188
3200	204
3215	189
3216	205
3231	190
3232	206
3247	191
3248	207
3263	192
3264	208
3279	193
3280	209
3295	194
3296	210
3311	195
3312	211
3326	197
3327	452
3343	181
3344	197
3359	182
3360	198
3375	183
3376	199
3391	184
3392	200
3407	185
3408	201
3423	186
3424	202
3439	187
3440	203
3455	188
3456	204
3471	189
3472	205
3487	190
3488	206
3503	191
3504	207
3519	192
3520	208
3535	193
3536	209
3551	194
3552	210
3567	195
3568	211
3582	197
3583	452
3599	181
3600	197
3615	182
3616	198
3631	183
3632	199
3647	184
3648	200
3663	185
3664	201
3679	186
3680	202
3695	187
3696	203
3711	188
3712	204
3727	189
3728	205
3743	190
3744	206
3759	191
3760	207
3775	192
3776	208
3791	193
3792	209
3807	194
3808	210
3823	195
3824	211
3838	197
3839	452
3855	181
3856	197
3871	182
3872	198
3887	183
3888	199
3903	184
3904	200
3919	185
3920	201
3935	186
3936	202
3951	187
3952	203
3967	188
3968	204
3983	189
3984	205
3999	190
4000	206
4015	191
4016	207
4031	192
4032	208
4047	193
4048	209
4063	194
4064	210
4079	195
4080	211
4094	197
4095	452
4111	181
4112	197
4127	182
4128	198
4143	183
4144	199
4159	184
4160	200
4175	185
4176	201
4191	186
4192	202
4207	187
4208	203
4223	188
4224	204
4239	189
4240	205
4255	190
4256	206
4271	191
4272	207
4287	192
4288	208
4303	193
4304	209
4319	194
4320	210
4335	195
4336	211
4350	197
4351	452
4367	184
4368	200
4383	185
4384	201
4399	186
4400	202
4415	187
4416	203
4431	188
4432	204
4447	189
4448	205
4463	190
4464	206
4479	191
4480	207
4495	192
4496	208
4511	193
4512	209
4527	194
4528	210
4543	195
4544	211
4559	196
4560	212
4575	197
4576	213
4591	198
4592	214
4606	200
4607	455
4623	184
4624	200
4639	185
4640	201
4655	186
4656	202
4671	187
4672	203
4687	188
4688	204
4703	189
4704	205
4719	190
4720	206
4735	191
4736	207
4751	192
4752	208
4767	193
4768	209
4783	194
4784	210
4799	195
4800	211
4815	196
4816	212
4831	197
4832	213
4847	198
4848	214
4862	200
4863	455
4879	184
4880	200
4895	185
4896	201
4911	186
4912	202
4927	187
4928	203
4943	188
4944	204
4959	189
4960	205
4975	190
4976	206
4991	191
4992	207
5007	192
5008	208
5023	193
5024	209
5039	194
5040	210
5055	195
5056	211
5071	196
5072	212
5087	197
5088	213
5103	198
5104	214
5118	200
5119	455
5135	184
5136	200
5151	185
5152	201
5167	186
5168	202
5183	187
5184	203
5199	188
5200	204
5215	189
5216	205
5231	190
5232	206
5247	191
5248	207
5263	192
5264	208
5279	193
5280	209
5295	194
5296	210
5311	195
5312	211
5327	196
5328	212
5343	197
5344	213
5359	198
5360	214
5374	200
