x	y
0	3871
1009	4880
1010	3466
2422	4878
2423	3465
3834	4876
3835	3464
5245	4874
5246	3463
6655	4872
6656	3462
8064	4870
8065	3461
9472	4868
9473	3460
10879	4866
10880	3459
12285	4864
12286	3458
13690	4862
13691	3457
15094	4860
15095	3456
16497	4858
16498	3455
17899	4856
17900	3454
19300	4854
19301	3453
20700	4852
20701	3452
22099	4850
22100	3451
23497	4848
23498	3450
24894	4846
24895	3449
26290	4844
26291	3448
27685	4842
27686	3447
29079	4840
29080	3446
30472	4838
30473	3445
31864	4836
31865	3444
33255	4834
33256	3443
34645	4832
34646	3442
36034	4830
36035	3441
37422	4828
37423	3440
38809	4826
38810	3439
40195	4824
40196	3438
41580	4822
41581	3437
42964	4820
42965	3436
44347	4818
44348	3435
45729	4816
45730	3434
47110	4814
47111	3433
48490	4812
48491	3432
49869	4810
49870	3431
51247	4808
51248	3430
52624	4806
52625	3429
54000	4804
54001	3428
55375	4802
55376	3427
56749	4800
56750	3426
58122	4798
58123	3425
59494	4796
59495	3424
60865	4794
60866	3423
62235	4792
62236	3422
63604	4790
63605	3421
64972	4788
64973	3420
66339	4786
66340	3419
67705	4784
67706	3418
69070	4782
69071	3417
70434	4780
70435	3416
71797	4778
71798	3415
73159	4776
73160	3414
74520	4774
74521	3413
75880	4772
75881	3412
77239	4770
77240	3411
78597	4768
78598	3410
79954	4766
79955	3409
81310	4764
81311	3408
82665	4762
82666	3407
84019	4760
84020	3406
85372	4758
85373	3405
86724	4756
86725	3404
88075	4754
88076	3403
89425	4752
89426	3402
90774	4750
90775	3401
92122	4748
92123	3400
93469	4746
93470	3399
94815	4744
94816	3398
96160	4742
96161	3397
97504	4740
97505	3396
98847	4738
98848	3395
100189	4736
100190	3394
101530	4734
101531	3393
102870	4732
102871	3392
104209	4730
104210	3391
105547	4728
105548	3390
106884	4726
106885	3389
108220	4724
108221	3388
109555	4722
109556	3387
110889	4720
110890	3386
112222	4718
112223	3385
113554	4716
113555	3384
114885	4714
114886	3383
116215	4712
116216	3382
117544	4710
117545	3381
118872	4708
118873	3380
120199	4706
120200	3379
121525	4704
121526	3378
122850	4702
122851	3377
124174	4700
124175	3376
125497	4698
125498	3375
126819	4696
126820	3374
128140	4694
128141	3373
129460	4692
129461	3372
130779	4690
130780	3371
132097	4688
132098	3370
133414	4686
133415	3369
134730	4684
134731	3368
136045	4682
136046	3367
137359	4680
137360	3366
138672	4678
138673	3365
139984	4676
139985	3364
141295	4674
141296	3363
142605	4672
142606	3362
143914	4670
143915	3361
145222	4668
145223	3360
146529	4666
146530	3359
