x	y
0	4499
577	5076
578	4052
1601	5075
1602	4051
2625	5074
2626	4050
3649	5073
3650	4049
4673	5072
4674	4048
5697	5071
5698	4047
6721	5070
6722	4046
7745	5069
7746	4045
8769	5068
8770	4044
9793	5067
9794	4043
10817	5066
10818	4042
11841	5065
11842	4041
12865	5064
12866	4040
13889	5063
13890	4039
14913	5062
14914	4038
15937	5061
15938	4037
16961	5060
16962	4036
17985	5059
17986	4035
19009	5058
19010	4034
20033	5057
20034	4033
21057	5056
21058	4032
22081	5055
22082	4031
23105	5054
23106	4030
24129	5053
24130	4029
25153	5052
25154	4028
26177	5051
26178	4027
27201	5050
27202	4026
28225	5049
28226	4025
29249	5048
29250	4024
30273	5047
30274	4023
31297	5046
31298	4022
32321	5045
32322	4021
33345	5044
33346	4020
34369	5043
34370	4019
35393	5042
35394	4018
36417	5041
36418	4017
37441	5040
37442	4016
38465	5039
38466	4015
39489	5038
39490	4014
40513	5037
40514	4013
41537	5036
41538	4012
42561	5035
42562	4011
43585	5034
43586	4010
44609	5033
44610	4009
45633	5032
45634	4008
46657	5031
46658	4007
47681	5030
47682	4006
48705	5029
48706	4005
49729	5028
49730	4004
50753	5027
50754	4003
51777	5026
51778	4002
52801	5025
52802	4001
53825	5024
53826	4000
54849	5023
54850	3999
55873	5022
55874	3998
56897	5021
56898	3997
57921	5020
57922	3996
58945	5019
58946	3995
59969	5018
59970	3994
60993	5017
60994	3993
62017	5016
62018	3992
63041	5015
63042	3991
64065	5014
64066	3990
65089	5013
65090	3989
66113	5012
66114	3988
67137	5011
67138	3987
68161	5010
68162	3986
69185	5009
69186	3985
70209	5008
70210	3984
71233	5007
71234	3983
72257	5006
72258	3982
73281	5005
73282	3981
74305	5004
74306	3980
75329	5003
75330	3979
76353	5002
76354	3978
77377	5001
77378	3977
78401	5000
78402	3976
79425	4999
79426	3975
80449	4998
80450	3974
81473	4997
81474	3973
82497	4996
82498	3972
83521	4995
83522	3971
84545	4994
84546	3970
85569	4993
85570	3969
86593	4992
86594	3968
87617	4991
87618	3967
88641	4990
