x	y
0	882
65	947
66	819
193	946
194	818
321	945
322	817
449	944
450	816
577	943
578	815
705	942
706	814
833	941
834	813
961	940
962	812
1089	939
1090	811
1217	938
1218	810
1345	937
1346	809
1473	936
1474	808
1601	935
1602	807
1729	934
1730	806
1857	933
1858	805
1985	932
1986	804
2113	931
2114	803
2241	930
2242	802
2369	929
2370	801
2497	928
2498	800
2625	927
2626	799
2753	926
2754	798
2881	925
2882	797
3009	924
3010	796
3137	923
3138	795
3265	922
3266	794
3393	921
3394	793
3521	920
3522	792
3649	919
3650	791
3777	918
3778	790
3905	917
3906	789
4033	916
4034	788
4161	915
4162	787
4289	914
4290	786
4417	913
4418	785
4545	912
4546	784
4673	911
4674	783
4801	910
4802	782
4929	909
4930	781
5057	908
5058	780
5185	907
5186	779
5313	906
5314	778
5441	905
5442	777
5569	904
5570	776
5697	903
5698	775
5825	902
5826	774
5953	901
5954	773
6081	900
6082	772
6209	899
6210	771
6337	898
6338	770
6465	897
6466	769
6593	896
6594	768
6721	895
6722	767
6849	894
6850	766
6977	893
6978	765
7105	892
7106	764
7233	891
7234	763
7361	890
7362	762
7489	889
7490	761
7617	888
7618	760
7745	887
7746	759
7873	886
7874	758
8001	885
8002	757
8129	884
8130	756
8257	883
8258	755
8385	882
8386	754
8513	881
8514	753
8641	880
8642	752
8769	8942
8770	815
8897	942
8898	814
9025	941
9026	813
9153	940
9154	812
9281	939
9282	811
9409	938
9410	810
9537	937
9538	809
9665	936
9666	808
9793	935
9794	807
9921	934
9922	806
10049	933
10050	805
10177	932
10178	804
10305	931
10306	803
10433	930
10434	802
10561	929
10562	801
10689	928
10690	800
10817	927
10818	799
10945	926
10946	798
11073	925
11074	797
11201	924
11202	796
11329	923
11330	795
11457	922
11458	794
11585	921
11586	793
11713	920
11714	792
11841	919
11842	791
11969	918
11970	790
12097	917
12098	789
12225	916
12226	788
12353	915
12354	787
12481	914
12482	786
12609	913
12610	785
12737	912
12738	784
12865	911
12866	783
12993	910
12994	782
13121	909
13122	781
13249	908
13250	780
13377	907
13378	779
13505	906
13506	778
13633	905
13634	777
13761	904
13762	776
13889	903
13890	775
14017	902
14018	774
14145	901
14146	773
14273	900
14274	772
14401	899
14402	771
14529	898
14530	770
14657	897
14658	769
14785	896
14786	768
14913	895
14914	767
15041	894
15042	766
15169	893
15170	765
15297	892
15298	764
15425	891
15426	763
15553	890
15554	762
15681	889
15682	761
15809	888
15810	760
15937	887
15938	759
16065	886
16066	758
16193	885
16194	757
16321	884
16322	756
16449	883
16450	755
16577	882
16578	754
16705	881
16706	753
16833	880
16834	752
16961	8942
16962	815
17089	942
17090	814
17217	941
17218	813
17345	940
17346	812
17473	939
17474	811
17601	938
17602	810
17729	937
17730	809
17857	936
17858	808
17985	935
17986	807
18113	934
18114	806
18241	933
18242	805
18369	932
18370	804
18497	931
18498	803
18625	930
18626	802
18753	929
18754	801
18881	928
18882	800
19009	927
19010	799
19137	926
19138	798
19265	925
19266	797
19393	924
19394	796
19521	923
19522	795
19649	922
19650	794
19777	921
19778	793
19905	920
19906	792
20033	919
20034	791
20161	918
20162	790
20289	917
20290	789
20417	916
20418	788
20545	915
20546	787
20673	914
20674	786
20801	913
20802	785
20929	912
20930	784
21057	911
21058	783
21185	910
21186	782
21313	909
21314	781
21441	908
21442	780
21569	907
21570	779
21697	906
21698	778
21825	905
21826	777
21953	904
21954	776
22081	903
22082	775
22209	902
22210	774
22337	901
22338	773
22465	900
22466	772
22593	899
22594	771
22721	898
22722	770
22849	897
22850	769
22977	896
22978	768
23105	895
23106	767
23233	894
23234	766
23361	893
23362	765
23489	892
23490	764
23617	891
23618	763
23745	890
23746	762
23873	889
23874	761
24001	888
24002	760
24129	887
24130	759
24257	886
24258	758
24385	885
24386	757
24513	884
24514	756
24641	883
24642	755
24769	882
24770	754
24897	881
24898	753
25025	880
25026	752
25153	8942
25154	815
25281	942
25282	814
25409	941
25410	813
25537	940
25538	812
25665	939
25666	811
25793	938
25794	810
25921	937
25922	809
26049	936
26050	808
26177	935
26178	807
26305	934
26306	806
26433	933
26434	805
26561	932
26562	804
26689	931
26690	803
26817	930
26818	802
26945	929
26946	801
27073	928
27074	800
27201	927
27202	799
27329	926
27330	798
27457	925
27458	797
27585	924
27586	796
27713	923
27714	795
27841	922
27842	794
27969	921
27970	793
28097	920
28098	792
28225	919
28226	791
28353	918
28354	790
28481	917
28482	789
28609	916
28610	788
28737	915
28738	787
28865	914
28866	786
28993	913
28994	785
29121	912
29122	784
29249	911
29250	783
29377	910
29378	782
29505	909
29506	781
29633	908
29634	780
29761	907
29762	779
29889	906
29890	778
30017	905
30018	777
30145	904
30146	776
30273	903
30274	775
30401	902
30402	774
30529	901
30530	773
30657	900
30658	772
30785	899
30786	771
30913	898
30914	770
31041	897
31042	769
31169	896
31170	768
31297	895
31298	767
31425	894
31426	766
31553	893
31554	765
31681	892
31682	764
31809	891
31810	763
31937	890
31938	762
32065	889
32066	761
32193	888
32194	760
32321	887
32322	759
32449	886
32450	758
32577	885
32578	757
32705	884
32706	756
32833	883
32834	755
32961	882
32962	754
33089	881
33090	753
33217	880
33218	752
33345	8942
33346	815
33473	942
33474	814
33601	941
33602	813
33729	940
33730	812
33857	939
33858	811
33985	938
33986	810
34113	937
34114	809
34241	936
34242	808
34369	935
34370	807
34497	934
34498	806
34625	933
34626	805
34753	932
34754	804
34881	931
34882	803
35009	930
35010	802
35137	929
35138	801
35265	928
35266	800
35393	927
35394	799
35521	926
35522	798
35649	925
35650	797
35777	924
35778	796
35905	923
35906	795
36033	922
36034	794
36161	921
36162	793
36289	920
36290	792
36417	919
36418	791
36545	918
36546	790
36673	917
36674	789
36801	916
36802	788
36929	915
36930	787
37057	914
37058	786
37185	913
37186	785
37313	912
37314	784
37441	911
37442	783
37569	910
37570	782
37697	909
37698	781
37825	908
37826	780
37953	907
37954	779
38081	906
38082	778
38209	905
38210	777
38337	904
38338	776
38465	903
38466	775
38593	902
38594	774
38721	901
38722	773
38849	900
38850	772
38977	899
38978	771
39105	898
39106	770
39233	897
39234	769
39361	896
39362	768
39489	895
39490	767
39617	894
39618	766
39745	893
39746	765
39873	892
39874	764
40001	891
40002	763
40129	890
40130	762
40257	889
40258	761
40385	888
40386	760
40513	887
40514	759
40641	886
40642	758
40769	885
40770	757
40897	884
40898	756
41025	883
41026	755
41153	882
41154	754
41281	881
41282	753
41409	880
41410	752
41537	8942
41538	815
41665	942
41666	814
41793	941
41794	813
41921	940
41922	812
42049	939
42050	811
42177	938
42178	810
42305	937
42306	809
42433	936
42434	808
42561	935
42562	807
42689	934
42690	806
42817	933
42818	805
42945	932
42946	804
43073	931
43074	803
43201	930
43202	802
43329	929
43330	801
43457	928
43458	800
43585	927
43586	799
43713	926
43714	798
43841	925
43842	797
43969	924
43970	796
44097	923
44098	795
44225	922
44226	794
44353	921
44354	793
44481	920
44482	792
44609	919
44610	791
44737	918
44738	790
44865	917
44866	789
44993	916
44994	788
45121	915
45122	787
45249	914
45250	786
45377	913
45378	785
45505	912
45506	784
45633	911
45634	783
45761	910
45762	782
45889	909
45890	781
46017	908
46018	780
46145	907
46146	779
46273	906
46274	778
46401	905
46402	777
46529	904
46530	776
46657	903
46658	775
46785	902
46786	774
46913	901
46914	773
47041	900
47042	772
47169	899
47170	771
47297	898
47298	770
47425	897
47426	769
47553	896
47554	768
47681	895
47682	767
47809	894
47810	766
47937	893
47938	765
48065	892
48066	764
48193	891
48194	763
48321	890
48322	762
48449	889
48450	761
48577	888
48578	760
48705	887
48706	759
48833	886
48834	758
48961	885
48962	757
49089	884
49090	756
49217	883
49218	755
49345	882
49346	754
49473	881
49474	753
49601	880
49602	752
49729	8942
49730	815
49857	942
49858	814
49985	941
49986	813
50113	940
50114	812
50241	939
50242	811
50369	938
50370	810
50497	937
50498	809
50625	936
50626	808
50753	935
50754	807
50881	934
50882	806
